x	y	theta1	theta2	steps1	steps2	interval
4.373	4.759	133.632	43.094	0	1	2
4.382	4.751	133.617	42.980	0	1	2
4.390	4.743	133.603	42.870	0	1	2
4.399	4.735	133.588	42.756	0	1	2
4.407	4.727	133.574	42.646	0	1	2
4.415	4.719	133.564	42.537	0	1	2
4.419	4.708	133.591	42.440	0	1	2
4.423	4.697	133.620	42.340	0	1	2
4.427	4.686	133.647	42.243	0	1	2
4.431	4.675	133.675	42.142	0	1	2
4.435	4.664	133.702	42.045	0	1	2
4.440	4.653	133.730	41.945	0	1	2
4.444	4.642	133.757	41.848	0	1	2
4.447	4.632	133.788	41.755	0	1	2
4.447	4.620	133.848	41.685	-1	1	2
4.446	4.609	133.907	41.616	-1	1	2
4.446	4.597	133.969	41.544	-1	1	2
4.445	4.586	134.029	41.479	-1	1	2
4.443	4.574	134.101	41.421	-1	1	2
4.441	4.563	134.171	41.365	-1	1	2
4.439	4.551	134.243	41.306	-1	1	2
4.437	4.540	134.313	41.250	-1	1	2
4.435	4.528	134.385	41.192	-1	1	2
4.433	4.517	134.453	41.139	-1	1	2
4.431	4.506	134.528	41.086	-1	1	2
4.428	4.494	134.600	41.035	-1	1	2
4.426	4.483	134.676	40.982	-1	1	2
4.423	4.472	134.748	40.931	-1	1	2
4.420	4.460	134.823	40.879	-1	1	2
4.418	4.449	134.896	40.828	-1	1	2
4.415	4.437	134.971	40.776	-1	1	2
4.413	4.426	135.043	40.726	-1	1	2
4.410	4.415	135.118	40.674	-1	1	2
4.408	4.404	135.189	40.627	-1	1	2
4.405	4.392	135.265	40.577	-1	1	2
4.402	4.381	135.339	40.529	-1	1	2
4.399	4.370	135.415	40.480	-1	1	2
4.396	4.359	135.489	40.432	-1	1	2
4.393	4.347	135.565	40.383	-1	1	2
4.391	4.336	135.639	40.336	-1	1	2
4.388	4.325	135.715	40.287	-1	1	2
4.385	4.313	135.788	40.239	-1	1	2
4.382	4.302	135.865	40.191	-1	1	2
4.379	4.291	135.938	40.144	-1	1	2
4.377	4.279	136.014	40.095	-1	1	2
4.374	4.268	136.088	40.048	-1	1	2
4.371	4.257	136.161	40.001	-1	1	2
4.368	4.246	136.237	39.953	-1	1	2
4.365	4.234	136.310	39.906	-1	1	2
4.363	4.223	136.386	39.858	-1	1	2
4.360	4.212	136.457	39.813	-1	1	2
4.357	4.201	136.533	39.766	-1	1	2
4.354	4.190	136.607	39.721	-1	1	2
4.351	4.178	136.683	39.674	-1	1	2
4.348	4.167	136.757	39.629	-1	1	2
4.345	4.156	136.833	39.582	-1	1	2
4.342	4.145	136.907	39.537	-1	1	2
4.340	4.133	136.983	39.491	-1	1	2
4.337	4.122	137.057	39.446	-1	1	2
4.334	4.111	137.133	39.400	-1	1	2
4.331	4.100	137.207	39.355	-1	1	2
4.328	4.088	137.283	39.309	-1	1	2
4.325	4.077	137.357	39.265	-1	1	2
4.322	4.066	137.433	39.219	-1	1	2
4.319	4.054	137.506	39.174	-1	1	2
4.316	4.043	137.582	39.129	-1	1	2
4.314	4.032	137.656	39.085	-1	1	2
4.311	4.020	137.732	39.039	-1	1	2
4.308	4.009	137.805	38.995	-1	0	2
4.305	3.998	137.882	38.950	-1	1	2
4.302	3.987	137.955	38.906	-1	0	2
