x	y	theta1	theta2	steps1	steps2	interval
3.424	1.945	101.247	-130.435	2	-1	5
3.443	1.945	101.091	-130.313	2	-1	5
3.462	1.945	100.935	-130.192	2	-1	5
3.481	1.945	100.779	-130.070	2	-1	5
3.500	1.945	100.624	-129.948	2	-1	5
3.519	1.945	100.470	-129.826	2	-1	5
3.538	1.945	100.315	-129.703	2	-1	5
3.557	1.945	100.161	-129.580	2	-1	5
3.576	1.945	100.007	-129.457	2	-1	5
3.595	1.945	99.854	-129.334	2	-1	5
3.614	1.945	99.701	-129.211	2	-1	5
3.633	1.945	99.548	-129.088	2	-1	5
3.652	1.945	99.395	-128.964	2	-1	5
3.671	1.945	99.243	-128.840	2	-1	5
3.690	1.945	99.091	-128.716	2	-1	5
3.709	1.945	98.939	-128.592	2	-1	5
3.728	1.945	98.788	-128.467	2	-1	5
3.747	1.945	98.637	-128.342	2	-1	5
3.766	1.945	98.486	-128.218	2	-1	5
3.785	1.945	98.336	-128.093	2	-1	5
3.804	1.945	98.186	-127.967	2	-1	5
3.823	1.945	98.036	-127.842	2	-1	5
3.842	1.945	97.886	-127.716	2	-1	5
3.861	1.945	97.737	-127.590	2	-1	5
3.880	1.945	97.588	-127.464	2	-1	5
3.899	1.945	97.439	-127.338	2	-1	5
3.918	1.945	97.291	-127.211	2	-1	5
3.938	1.945	97.143	-127.085	2	-1	5
3.957	1.945	96.995	-126.958	2	-1	5
3.976	1.945	96.848	-126.831	2	-1	5
3.995	1.945	96.700	-126.704	2	-1	5
4.014	1.945	96.553	-126.576	2	-1	5
4.033	1.945	96.406	-126.449	2	-1	5
4.052	1.945	96.260	-126.321	2	-1	5
4.071	1.945	96.114	-126.193	2	-1	5
4.090	1.945	95.968	-126.065	2	-1	5
4.109	1.945	95.822	-125.936	2	-1	5
4.128	1.945	95.677	-125.808	2	-1	5
4.147	1.945	95.532	-125.679	2	-1	5
4.166	1.945	95.387	-125.550	2	-1	5
4.185	1.945	95.242	-125.421	2	-1	5
4.204	1.945	95.098	-125.291	2	-1	5
4.223	1.945	94.954	-125.162	2	-1	5
4.242	1.945	94.810	-125.032	2	-1	5
4.261	1.945	94.666	-124.902	2	-1	5
4.280	1.945	94.523	-124.772	2	-1	5
4.299	1.945	94.379	-124.642	2	-1	5
4.318	1.945	94.237	-124.511	2	-1	5
4.337	1.945	94.094	-124.381	2	-1	5
4.356	1.945	93.951	-124.250	2	-1	5
4.375	1.945	93.809	-124.119	2	-1	5
4.394	1.945	93.667	-123.988	2	-1	5
4.413	1.945	93.526	-123.856	2	-1	5
4.432	1.945	93.384	-123.725	2	-1	5
4.451	1.945	93.243	-123.593	2	-1	5
4.470	1.945	93.102	-123.461	2	-2	5
4.489	1.945	92.961	-123.329	2	-2	5
4.508	1.945	92.821	-123.196	2	-2	5
4.527	1.945	92.680	-123.064	2	-2	5
4.546	1.945	92.540	-122.931	2	-2	5
4.565	1.945	92.400	-122.798	2	-2	5
4.584	1.945	92.260	-122.665	2	-2	5
4.603	1.945	92.121	-122.532	2	-2	5
4.622	1.945	91.982	-122.398	2	-2	5
4.641	1.945	91.843	-122.265	2	-2	5
4.660	1.945	91.704	-122.131	2	-2	5
4.679	1.945	91.565	-121.997	2	-2	5
4.698	1.945	91.427	-121.863	2	-2	5
4.717	1.945	91.289	-121.728	2	-2	5
4.736	1.945	91.151	-121.594	2	-2	5
4.755	1.945	91.013	-121.459	2	-2	5
4.774	1.945	90.875	-121.324	2	-2	5
4.793	1.945	90.738	-121.189	2	-2	5
4.812	1.945	90.601	-121.053	2	-2	5
4.832	1.945	90.464	-120.918	2	-2	5
4.851	1.945	90.327	-120.782	2	-2	5
4.870	1.945	90.190	-120.646	2	-2	5
4.889	1.945	90.054	-120.510	2	-2	5
4.908	1.945	89.918	-120.374	2	-2	5
4.927	1.945	89.782	-120.238	2	-2	5
4.946	1.945	89.646	-120.101	2	-2	5
4.965	1.945	89.510	-119.964	2	-2	5
4.984	1.945	89.375	-119.827	2	-2	5
5.003	1.945	89.240	-119.690	2	-2	5
5.022	1.945	89.104	-119.553	2	-2	5
5.041	1.945	88.970	-119.415	2	-2	5
5.060	1.945	88.835	-119.277	2	-2	5
5.079	1.945	88.700	-119.139	2	-2	5
5.098	1.945	88.566	-119.001	2	-2	5
5.117	1.945	88.432	-118.863	2	-2	5
5.136	1.945	88.298	-118.725	2	-2	5
5.155	1.945	88.164	-118.586	2	-2	5
5.174	1.945	88.030	-118.447	2	-2	5
5.193	1.945	87.896	-118.308	2	-2	5
5.212	1.945	87.763	-118.169	2	-2	5
5.231	1.945	87.630	-118.029	2	-2	5
5.250	1.945	87.497	-117.890	2	-2	5
5.269	1.945	87.364	-117.750	2	-2	5
5.288	1.945	87.231	-117.610	2	-2	5
5.307	1.945	87.099	-117.470	2	-2	5
5.326	1.945	86.966	-117.330	2	-2	5
5.345	1.945	86.834	-117.189	2	-2	5
5.364	1.945	86.702	-117.048	2	-2	5
5.383	1.945	86.570	-116.907	2	-2	5
5.402	1.945	86.438	-116.766	1	-2	5
5.421	1.945	86.307	-116.625	1	-2	5
5.440	1.945	86.175	-116.484	1	-2	5
5.459	1.945	86.044	-116.342	1	-2	5
5.478	1.945	85.913	-116.200	1	-2	5
5.497	1.945	85.782	-116.058	1	-2	5
5.516	1.945	85.651	-115.916	1	-2	5
5.535	1.945	85.520	-115.773	1	-2	5
5.554	1.945	85.389	-115.631	1	-2	5
5.573	1.945	85.259	-115.488	1	-2	5
5.592	1.945	85.129	-115.345	1	-2	5
5.611	1.945	84.998	-115.202	1	-2	5
5.630	1.945	84.868	-115.059	1	-2	5
5.649	1.945	84.738	-114.915	1	-2	5
5.668	1.945	84.609	-114.771	1	-2	5
5.688	1.945	84.479	-114.627	1	-2	5
5.707	1.945	84.349	-114.483	1	-2	5
5.726	1.945	84.220	-114.339	1	-2	5
5.745	1.945	84.091	-114.195	1	-2	5
5.764	1.945	83.962	-114.050	1	-2	5
5.783	1.945	83.833	-113.905	1	-2	5
5.802	1.945	83.704	-113.760	1	-2	5
5.821	1.945	83.575	-113.615	1	-2	5
5.840	1.945	83.446	-113.469	1	-2	5
5.859	1.945	83.318	-113.324	1	-2	5
5.878	1.945	83.189	-113.178	1	-2	5
5.897	1.945	83.061	-113.032	1	-2	5
5.916	1.945	82.933	-112.886	1	-2	5
5.935	1.945	82.805	-112.739	1	-2	5
5.954	1.945	82.677	-112.593	1	-2	5
5.973	1.945	82.549	-112.446	1	-2	5
5.992	1.945	82.421	-112.299	1	-2	5
6.011	1.945	82.294	-112.152	1	-2	5
6.030	1.945	82.166	-112.004	1	-2	5
6.049	1.945	82.039	-111.857	1	-2	5
6.068	1.945	81.911	-111.709	1	-2	5
6.087	1.945	81.784	-111.561	1	-2	5
6.106	1.945	81.657	-111.413	1	-2	5
6.125	1.945	81.530	-111.264	1	-2	5
6.144	1.945	81.403	-111.116	1	-2	5
6.163	1.945	81.277	-110.967	1	-2	5
6.182	1.945	81.150	-110.818	1	-2	5
6.201	1.945	81.023	-110.669	1	-2	5
6.220	1.945	80.897	-110.519	1	-2	5
6.239	1.945	80.770	-110.370	1	-2	5
6.258	1.945	80.644	-110.220	1	-2	5
6.277	1.945	80.518	-110.070	1	-2	5
6.296	1.945	80.392	-109.920	1	-2	5
6.315	1.945	80.266	-109.770	1	-2	5
6.334	1.945	80.140	-109.619	1	-2	5
6.353	1.945	80.014	-109.468	1	-2	5
6.372	1.945	79.888	-109.317	1	-2	5
6.391	1.945	79.762	-109.166	1	-2	5
6.410	1.945	79.637	-109.015	1	-2	5
6.429	1.945	79.511	-108.863	1	-2	5
6.448	1.945	79.386	-108.711	1	-2	5
6.467	1.945	79.260	-108.559	1	-2	5
6.486	1.945	79.135	-108.407	1	-2	5
6.505	1.945	79.010	-108.255	1	-2	5
6.524	1.945	78.885	-108.102	1	-2	5
6.543	1.945	78.760	-107.949	1	-2	5
6.562	1.945	78.635	-107.796	1	-2	5
6.582	1.945	78.510	-107.643	1	-2	5
6.601	1.945	78.385	-107.490	1	-2	5
6.620	1.945	78.260	-107.336	1	-2	5
6.639	1.945	78.136	-107.182	1	-2	5
6.658	1.945	78.011	-107.028	1	-2	5
6.677	1.945	77.886	-106.874	1	-2	5
6.696	1.945	77.762	-106.719	1	-2	5
6.715	1.945	77.637	-106.564	1	-2	5
6.734	1.945	77.513	-106.409	1	-2	5
6.753	1.945	77.389	-106.254	1	-2	5
6.772	1.945	77.265	-106.099	1	-2	5
6.791	1.945	77.140	-105.943	1	-2	5
6.810	1.945	77.016	-105.788	1	-2	5
6.829	1.945	76.892	-105.632	1	-2	5
6.848	1.945	76.768	-105.475	1	-2	5
6.867	1.945	76.644	-105.319	1	-2	5
6.886	1.945	76.520	-105.162	1	-2	5
6.905	1.945	76.396	-105.005	1	-2	5
6.924	1.945	76.273	-104.848	1	-2	5
6.943	1.945	76.149	-104.691	1	-2	5
6.962	1.945	76.025	-104.533	1	-2	5
6.981	1.945	75.902	-104.376	1	-2	5
7.000	1.945	75.778	-104.218	1	-2	5
0.000	1.945	137.068	-147.905	-697	497	2041
0.000	1.964	137.117	-147.776	-1	-1	2
0.000	1.984	137.164	-147.648	-1	-1	2
0.000	2.003	137.211	-147.519	-1	-1	2
0.000	2.022	137.257	-147.390	-1	-1	2
0.000	2.042	137.301	-147.260	-1	-1	2
0.000	2.061	137.345	-147.131	0	-1	2
0.000	2.080	137.388	-147.002	0	-1	2
0.000	2.100	137.430	-146.872	0	-1	2
0.000	2.119	137.471	-146.742	0	-1	2
0.000	2.138	137.511	-146.612	0	-1	2
0.000	2.158	137.551	-146.482	0	-1	2
0.000	2.177	137.589	-146.351	0	-1	2
0.000	2.196	137.627	-146.221	0	-1	2
0.000	2.216	137.664	-146.090	0	-1	2
0.000	2.235	137.700	-145.959	0	-1	2
0.000	2.254	137.735	-145.828	0	-1	2
0.000	2.273	137.769	-145.697	0	-1	2
0.000	2.293	137.803	-145.566	0	-1	2
0.000	2.312	137.835	-145.435	0	-1	2
0.000	2.331	137.867	-145.303	0	-1	2
0.000	2.351	137.898	-145.171	0	-1	2
0.000	2.370	137.928	-145.039	0	-2	5
0.000	2.389	137.958	-144.907	0	-2	5
0.000	2.409	137.987	-144.775	0	-2	5
0.000	2.428	138.015	-144.643	0	-2	5
0.000	2.447	138.042	-144.510	0	-2	5
0.000	2.467	138.068	-144.378	0	-2	5
0.000	2.486	138.094	-144.245	0	-2	5
0.000	2.505	138.119	-144.112	0	-2	5
0.000	2.525	138.143	-143.979	0	-2	5
0.000	2.544	138.167	-143.846	0	-2	5
0.000	2.563	138.190	-143.713	0	-2	5
0.000	2.583	138.212	-143.579	0	-2	5
0.000	2.602	138.233	-143.445	0	-2	5
0.000	2.621	138.254	-143.312	0	-2	5
0.000	2.641	138.274	-143.178	0	-2	5
0.000	2.660	138.294	-143.044	0	-2	5
0.000	2.679	138.312	-142.910	0	-2	5
0.000	2.699	138.331	-142.775	0	-2	5
0.000	2.718	138.348	-142.641	0	-2	5
0.000	2.737	138.365	-142.506	0	-2	5
0.000	2.757	138.381	-142.371	0	-2	5
0.000	2.776	138.396	-142.237	0	-2	5
0.000	2.795	138.411	-142.102	0	-2	5
0.000	2.815	138.425	-141.966	0	-2	5
0.000	2.834	138.439	-141.831	0	-2	5
0.000	2.834	138.439	-141.831	0	0	0
0.002	2.873	138.441	-141.554	0	-3	8
0.008	2.911	138.395	-141.267	1	-3	8
0.008	2.911	138.395	-141.267	0	0	0
0.017	2.951	138.316	-140.960	1	-3	8
0.027	2.991	138.226	-140.652	1	-4	11
0.037	3.031	138.126	-140.343	1	-4	11
0.048	3.070	138.016	-140.032	1	-4	11
0.061	3.109	137.896	-139.721	1	-4	11
0.073	3.148	137.766	-139.409	1	-4	11
0.087	3.187	137.627	-139.096	2	-4	11
0.102	3.225	137.479	-138.783	2	-4	11
0.117	3.263	137.322	-138.469	2	-4	11
