x	y
5.169	1.931
5.169	1.931
5.168	1.932
5.168	1.932
5.168	1.933
5.168	1.933
5.168	1.934
5.167	1.934
5.167	1.935
5.167	1.935
5.167	1.936
5.167	1.936
5.166	1.937
5.166	1.938
5.166	1.938
5.166	1.939
5.165	1.939
5.165	1.940
5.165	1.940
5.165	1.941
5.165	1.941
5.164	1.942
5.164	1.942
5.164	1.943
5.164	1.943
5.164	1.944
5.163	1.944
5.163	1.945
5.163	1.946
5.163	1.946
5.163	1.947
5.162	1.947
5.162	1.948
5.162	1.948
5.162	1.949
5.161	1.949
5.161	1.950
5.161	1.950
5.161	1.951
5.161	1.951
5.160	1.952
5.160	1.952
5.160	1.953
5.160	1.954
5.160	1.954
5.159	1.955
5.159	1.955
5.159	1.955
5.159	1.956
5.159	1.956
5.159	1.957
5.158	1.957
5.158	1.958
5.158	1.958
5.158	1.959
5.158	1.959
5.157	1.960
5.157	1.961
5.157	1.961
5.157	1.962
5.157	1.962
5.157	1.963
5.156	1.963
5.156	1.964
5.156	1.964
5.156	1.965
5.156	1.965
5.155	1.966
5.155	1.967
5.155	1.967
5.155	1.968
5.155	1.968
5.154	1.969
5.154	1.969
5.154	1.970
5.154	1.970
5.154	1.971
5.154	1.971
5.153	1.972
5.153	1.972
5.153	1.973
5.153	1.974
5.153	1.974
5.152	1.975
5.152	1.975
5.152	1.976
5.152	1.976
5.152	1.977
5.151	1.977
5.151	1.978
5.151	1.978
5.151	1.979
5.151	1.980
5.151	1.980
5.151	1.980
5.150	1.981
5.150	1.981
5.150	1.982
5.150	1.982
5.150	1.983
5.150	1.983
5.149	1.984
5.149	1.984
5.149	1.985
5.149	1.986
5.149	1.986
5.149	1.987
5.148	1.987
5.148	1.988
5.148	1.988
5.148	1.989
5.148	1.989
5.148	1.990
5.148	1.990
5.147	1.991
5.147	1.992
5.147	1.992
5.147	1.993
5.147	1.993
5.147	1.994
5.146	1.994
5.146	1.995
5.146	1.995
5.146	1.996
5.146	1.997
5.146	1.997
5.145	1.998
5.145	1.998
5.145	1.999
5.145	1.999
5.145	2.000
5.145	2.000
5.145	2.001
5.144	2.001
5.144	2.001
5.144	2.002
5.144	2.003
5.144	2.003
5.144	2.004
5.144	2.004
5.143	2.005
5.143	2.005
5.143	2.006
5.143	2.006
5.143	2.007
5.143	2.008
5.143	2.008
5.142	2.009
5.142	2.009
5.142	2.010
5.142	2.010
5.142	2.011
5.142	2.011
5.142	2.012
5.142	2.012
5.141	2.013
5.141	2.014
5.141	2.014
5.141	2.015
5.141	2.015
5.141	2.016
5.141	2.016
5.140	2.017
5.140	2.017
5.140	2.018
5.140	2.019
5.140	2.019
5.140	2.020
5.140	2.020
5.139	2.021
5.139	2.021
5.139	2.022
5.139	2.022
5.139	2.023
5.139	2.023
5.139	2.024
5.138	2.025
5.138	2.025
5.138	2.026
5.138	2.026
5.138	2.027
5.138	2.027
5.138	2.028
5.137	2.028
5.137	2.029
5.137	2.030
5.137	2.030
5.137	2.031
5.137	2.031
5.137	2.032
5.136	2.032
5.136	2.033
5.136	2.033
5.136	2.034
5.136	2.035
5.136	2.035
5.136	2.036
5.135	2.036
5.135	2.037
5.135	2.037
5.135	2.038
5.135	2.038
5.135	2.039
5.135	2.039
5.134	2.040
5.134	2.041
5.134	2.041
5.134	2.042
5.134	2.042
5.134	2.043
5.134	2.043
5.133	2.044
5.133	2.044
5.133	2.045
5.133	2.046
5.133	2.046
5.133	2.047
5.133	2.047
5.132	2.048
5.132	2.048
5.132	2.049
5.132	2.049
5.132	2.050
5.132	2.051
5.132	2.051
5.132	2.051
5.131	2.051
5.131	2.050
5.131	2.049
5.131	2.049
5.131	2.048
5.131	2.048
5.130	2.047
5.130	2.047
5.130	2.046
5.130	2.046
5.130	2.045
5.130	2.044
5.129	2.044
5.129	2.043
5.129	2.043
5.129	2.042
5.129	2.042
5.129	2.041
5.128	2.041
5.128	2.040
5.128	2.040
5.128	2.039
5.128	2.038
5.128	2.038
5.127	2.037
5.127	2.037
5.127	2.036
5.127	2.036
5.127	2.035
5.127	2.035
5.126	2.034
5.126	2.034
5.126	2.033
5.126	2.032
5.126	2.032
5.126	2.031
5.125	2.031
5.125	2.030
5.125	2.030
5.125	2.029
5.125	2.029
5.125	2.028
5.124	2.027
5.124	2.027
5.124	2.026
5.124	2.026
5.124	2.025
5.124	2.025
5.124	2.024
5.123	2.024
5.123	2.023
5.123	2.023
5.123	2.022
5.123	2.021
5.123	2.021
5.122	2.020
5.122	2.020
5.122	2.019
5.122	2.019
5.122	2.018
5.122	2.018
5.121	2.017
5.121	2.017
5.121	2.016
5.121	2.015
5.121	2.015
5.121	2.014
5.120	2.014
5.120	2.013
5.120	2.013
5.120	2.013
5.120	2.012
5.120	2.012
5.120	2.011
5.120	2.010
5.119	2.010
5.119	2.009
5.119	2.009
5.119	2.008
5.119	2.008
5.119	2.007
5.119	2.007
5.119	2.006
5.118	2.005
5.118	2.005
5.118	2.004
5.118	2.004
5.118	2.003
5.118	2.003
5.118	2.002
5.118	2.001
5.117	2.001
5.117	2.000
5.117	2.000
5.117	1.999
5.117	1.999
5.117	1.998
5.117	1.998
5.117	1.997
5.116	1.996
5.116	1.996
5.116	1.995
5.116	1.995
5.116	1.994
5.116	1.994
5.116	1.993
5.116	1.992
5.115	1.992
5.115	1.992
5.115	1.991
5.115	1.991
