x	y
4.995	5.118
4.984	5.118
4.972	5.118
4.961	5.118
4.949	5.118
4.937	5.118
4.926	5.118
4.914	5.118
4.902	5.118
4.891	5.118
4.879	5.118
4.868	5.118
4.856	5.118
4.844	5.118
4.833	5.118
4.821	5.117
4.809	5.117
4.798	5.117
4.786	5.117
4.775	5.117
4.763	5.117
4.751	5.117
4.739	5.117
4.728	5.117
4.716	5.117
4.705	5.117
4.693	5.117
4.681	5.117
4.670	5.117
4.658	5.117
4.647	5.117
4.635	5.117
4.624	5.117
4.612	5.117
4.600	5.117
4.588	5.117
4.577	5.117
4.565	5.117
4.554	5.117
4.542	5.117
4.530	5.117
4.519	5.117
4.507	5.117
4.495	5.117
4.484	5.117
4.472	5.117
4.461	5.117
4.449	5.117
4.437	5.117
4.426	5.117
4.414	5.117
4.402	5.117
4.391	5.117
4.379	5.117
4.368	5.117
4.356	5.117
4.344	5.117
4.332	5.117
4.321	5.117
4.309	5.117
4.298	5.117
4.286	5.117
4.275	5.117
4.263	5.117
4.251	5.116
4.240	5.116
4.228	5.116
4.217	5.116
4.205	5.116
4.193	5.116
4.181	5.116
4.170	5.116
4.158	5.116
4.147	5.116
4.135	5.116
4.123	5.116
4.112	5.116
4.100	5.116
4.088	5.116
4.077	5.116
4.065	5.116
4.054	5.116
4.042	5.116
4.030	5.116
4.028	5.107
4.028	5.096
4.028	5.084
4.028	5.073
4.029	5.061
4.029	5.049
4.029	5.038
4.029	5.026
4.029	5.015
4.029	5.003
4.030	4.992
4.030	4.980
4.030	4.968
4.030	4.957
4.030	4.945
4.031	4.933
4.031	4.922
4.031	4.910
4.031	4.899
4.034	4.889
4.045	4.888
4.057	4.887
4.068	4.885
4.080	4.884
4.091	4.882
4.102	4.879
4.114	4.877
4.125	4.874
4.136	4.872
4.148	4.869
4.159	4.867
4.171	4.864
4.182	4.862
4.193	4.859
4.205	4.857
4.216	4.854
4.226	4.850
4.237	4.845
4.247	4.839
4.257	4.834
4.268	4.829
4.278	4.824
4.289	4.819
4.299	4.814
4.310	4.808
4.320	4.803
4.331	4.798
4.340	4.791
4.348	4.783
4.356	4.775
4.365	4.767
4.373	4.759
4.382	4.751
4.390	4.743
4.399	4.735
4.407	4.727
4.415	4.719
4.419	4.708
4.423	4.697
4.427	4.686
4.431	4.675
4.435	4.664
4.440	4.653
4.444	4.642
4.447	4.632
4.447	4.620
4.446	4.609
4.446	4.597
4.445	4.586
4.443	4.574
4.441	4.563
4.439	4.551
4.437	4.540
4.435	4.528
4.433	4.517
4.431	4.506
4.428	4.494
4.426	4.483
4.423	4.472
4.420	4.460
4.418	4.449
4.415	4.437
4.413	4.426
4.410	4.415
4.408	4.404
4.405	4.392
4.402	4.381
4.399	4.370
4.396	4.359
4.393	4.347
4.391	4.336
4.388	4.325
4.385	4.313
4.382	4.302
4.379	4.291
4.377	4.279
4.374	4.268
4.371	4.257
4.368	4.246
4.365	4.234
4.363	4.223
4.360	4.212
4.357	4.201
4.354	4.190
4.351	4.178
4.348	4.167
4.345	4.156
4.342	4.145
4.340	4.133
4.337	4.122
4.334	4.111
4.331	4.100
4.328	4.088
4.325	4.077
4.322	4.066
4.319	4.054
4.316	4.043
4.314	4.032
4.311	4.020
4.308	4.009
4.305	3.998
4.302	3.987
4.299	3.976
4.296	3.965
4.293	3.953
4.290	3.942
4.287	3.931
4.284	3.920
4.281	3.909
4.278	3.897
4.275	3.886
4.272	3.875
4.269	3.864
4.266	3.852
4.263	3.841
4.260	3.830
4.257	3.819
4.254	3.807
4.251	3.796
4.248	3.785
4.245	3.774
4.242	3.762
4.239	3.751
4.236	3.740
4.233	3.729
4.230	3.718
4.227	3.707
4.224	3.695
4.221	3.684
4.218	3.673
4.215	3.662
4.212	3.650
4.209	3.639
4.206	3.628
4.203	3.617
4.200	3.605
4.197	3.594
4.193	3.583
4.190	3.572
4.187	3.561
4.184	3.549
4.181	3.538
4.178	3.527
4.175	3.516
4.172	3.505
4.169	3.494
4.166	3.482
4.163	3.471
4.160	3.460
4.156	3.449
4.153	3.438
4.150	3.427
4.147	3.415
4.144	3.404
4.141	3.393
4.137	3.382
4.134	3.370
4.131	3.359
4.128	3.348
4.125	3.337
4.122	3.326
4.119	3.315
4.115	3.303
4.112	3.292
4.109	3.281
4.106	3.270
4.103	3.259
4.100	3.247
4.097	3.236
4.093	3.225
4.090	3.214
4.087	3.203
4.084	3.192
4.081	3.180
4.077	3.169
4.074	3.158
4.071	3.147
4.068	3.136
4.064	3.125
4.061	3.113
4.058	3.102
4.055	3.091
4.052	3.080
4.048	3.069
4.045	3.058
4.042	3.046
4.039	3.035
4.035	3.024
4.032	3.013
4.029	3.002
4.026	2.991
4.022	2.979
4.019	2.968
4.016	2.957
4.012	2.946
4.009	2.935
4.006	2.924
4.003	2.913
3.999	2.901
3.996	2.891
3.993	2.879
3.989	2.868
3.986	2.857
3.983	2.846
3.980	2.835
3.976	2.824
3.973	2.812
3.970	2.801
3.966	2.790
3.963	2.779
3.960	2.768
3.957	2.757
3.953	2.746
3.950	2.735
3.947	2.723
3.943	2.712
3.940	2.701
3.937	2.690
3.933	2.679
3.930	2.668
3.927	2.656
3.923	2.645
3.920	2.634
3.917	2.623
3.913	2.612
3.910	2.601
3.907	2.590
3.903	2.578
3.900	2.567
3.897	2.556
3.894	2.545
3.890	2.534
3.887	2.523
3.882	2.512
3.875	2.512
3.871	2.524
3.867	2.534
3.863	2.545
3.859	2.556
3.855	2.567
3.851	2.578
3.847	2.589
3.843	2.599
3.839	2.611
3.835	2.621
3.831	2.633
3.827	2.643
3.823	2.654
3.819	2.665
3.815	2.676
3.811	2.687
3.807	2.698
3.803	2.708
3.799	2.720
3.795	2.730
3.791	2.741
3.787	2.752
3.783	2.763
3.779	2.774
3.775	2.785
3.771	2.796
3.767	2.807
3.763	2.818
3.759	2.828
3.755	2.840
3.751	2.850
3.747	2.861
3.743	2.872
3.739	2.883
3.735	2.894
3.731	2.905
3.727	2.916
3.723	2.927
3.719	2.938
3.715	2.949
3.711	2.960
3.707	2.971
3.703	2.981
3.699	2.993
3.695	3.003
3.691	3.014
3.687	3.025
3.683	3.036
3.679	3.047
3.675	3.058
3.671	3.069
3.667	3.080
3.663	3.091
3.659	3.101
3.655	3.112
3.651	3.123
3.647	3.134
3.643	3.145
3.639	3.156
3.636	3.167
3.631	3.178
3.628	3.188
3.623	3.200
3.620	3.210
3.615	3.221
3.612	3.232
3.608	3.243
3.604	3.254
3.600	3.265
3.596	3.276
3.592	3.287
3.588	3.298
3.584	3.309
3.580	3.320
3.576	3.331
3.572	3.341
3.568	3.353
3.564	3.363
3.560	3.374
3.556	3.385
3.552	3.396
3.548	3.407
3.544	3.418
3.540	3.429
3.536	3.440
3.532	3.451
3.528	3.461
3.524	3.472
3.520	3.483
3.516	3.494
3.512	3.505
3.508	3.516
3.504	3.527
3.500	3.538
3.496	3.548
3.492	3.560
3.488	3.570
3.484	3.581
3.480	3.592
3.476	3.603
3.472	3.614
3.468	3.625
3.464	3.636
3.460	3.647
3.456	3.658
3.452	3.669
3.448	3.680
3.444	3.691
3.440	3.701
3.436	3.713
3.432	3.723
3.428	3.734
3.424	3.745
3.420	3.756
3.416	3.767
3.412	3.778
3.408	3.789
3.404	3.800
3.400	3.811
3.396	3.821
3.392	3.833
3.388	3.843
3.384	3.854
3.380	3.865
3.376	3.876
3.372	3.887
3.368	3.898
3.364	3.908
3.360	3.920
3.356	3.930
3.352	3.941
3.348	3.952
3.344	3.963
3.340	3.974
3.336	3.985
3.332	3.996
3.328	4.007
3.324	4.018
3.320	4.029
3.316	4.040
3.312	4.050
3.308	4.061
3.304	4.072
3.300	4.083
3.296	4.094
3.292	4.105
3.288	4.116
3.284	4.127
3.280	4.138
3.276	4.149
3.272	4.160
3.268	4.171
3.264	4.181
3.260	4.193
3.256	4.203
3.252	4.214
3.248	4.225
3.244	4.236
3.240	4.247
3.236	4.258
3.232	4.269
3.228	4.280
3.224	4.291
3.220	4.302
3.216	4.312
3.212	4.323
3.208	4.334
3.204	4.345
3.200	4.356
3.196	4.367
3.192	4.378
3.188	4.388
3.184	4.399
3.180	4.410
3.176	4.421
3.172	4.432
3.168	4.443
3.164	4.454
3.160	4.465
3.156	4.476
3.152	4.487
3.148	4.498
3.144	4.509
3.140	4.519
3.136	4.531
3.132	4.541
3.128	4.552
3.124	4.563
3.120	4.574
3.116	4.585
3.112	4.596
3.108	4.607
3.104	4.618
3.100	4.629
3.096	4.640
3.092	4.650
3.088	4.662
3.084	4.672
3.080	4.683
3.076	4.694
3.072	4.705
3.068	4.716
3.064	4.727
3.060	4.738
3.056	4.749
3.052	4.760
3.048	4.770
3.044	4.782
3.040	4.792
3.036	4.803
3.032	4.814
3.028	4.825
3.024	4.836
3.020	4.847
3.016	4.858
3.012	4.869
3.008	4.880
3.004	4.891
3.000	4.901
2.996	4.912
2.992	4.923
2.988	4.934
2.984	4.945
2.980	4.956
2.976	4.967
2.972	4.978
2.968	4.989
2.964	5.000
2.960	5.011
2.956	5.022
2.952	5.032
2.948	5.043
2.944	5.054
2.940	5.065
2.930	5.067
2.919	5.067
2.907	5.067
2.895	5.067
2.884	5.068
2.872	5.068
2.860	5.068
2.849	5.068
2.837	5.068
2.826	5.068
2.814	5.068
2.802	5.069
2.791	5.069
2.780	5.069
2.768	5.069
2.756	5.069
2.744	5.069
2.733	5.070
2.721	5.070
2.710	5.070
2.698	5.070
2.686	5.070
2.675	5.070
2.663	5.070
2.660	5.059
2.658	5.049
2.655	5.037
2.652	5.027
2.648	5.016
2.645	5.004
2.641	4.993
2.637	4.982
2.634	4.971
2.630	4.960
2.627	4.949
2.623	4.938
2.620	4.927
2.616	4.916
2.613	4.905
2.609	4.893
2.606	4.883
2.602	4.871
2.599	4.860
2.595	4.849
2.592	4.838
2.588	4.827
2.585	4.816
2.581	4.805
2.578	4.794
2.574	4.782
2.571	4.772
2.567	4.760
2.564	4.749
2.560	4.738
2.557	4.727
2.553	4.716
2.550	4.705
2.546	4.694
2.543	4.683
2.539	4.672
2.536	4.661
2.532	4.650
2.529	4.638
2.525	4.628
2.521	4.616
2.518	4.605
2.514	4.594
2.511	4.583
2.507	4.572
2.504	4.561
2.500	4.550
2.497	4.539
2.493	4.528
2.490	4.517
2.486	4.506
2.483	4.495
2.479	4.484
2.476	4.473
2.472	4.461
2.469	4.450
2.465	4.439
2.462	4.428
2.458	4.417
2.455	4.406
2.451	4.395
2.448	4.384
2.444	4.373
2.441	4.362
2.437	4.351
2.434	4.340
2.430	4.329
2.427	4.317
2.423	4.306
2.420	4.295
2.416	4.284
2.412	4.273
2.409	4.262
2.405	4.251
2.402	4.240
2.398	4.229
2.395	4.218
2.391	4.206
2.388	4.195
2.384	4.184
2.381	4.173
2.377	4.162
2.374	4.151
2.370	4.140
2.367	4.129
2.363	4.118
2.360	4.107
2.356	4.095
2.353	4.085
2.349	4.074
2.346	4.063
2.342	4.051
2.339	4.041
2.335	4.030
2.331	4.018
2.328	4.008
2.324	3.996
2.321	3.985
2.317	3.974
2.314	3.963
2.310	3.952
2.307	3.941
2.303	3.930
2.300	3.919
2.296	3.908
2.292	3.897
2.289	3.885
2.285	3.874
2.282	3.863
2.278	3.852
2.275	3.841
2.271	3.830
2.268	3.819
2.264	3.808
2.261	3.797
2.257	3.786
2.253	3.774
2.250	3.764
2.246	3.753
2.243	3.742
2.239	3.730
2.236	3.720
2.232	3.709
2.229	3.697
2.225	3.686
2.222	3.675
2.218	3.665
2.215	3.653
2.211	3.642
2.207	3.631
2.204	3.620
2.200	3.609
2.197	3.598
2.193	3.587
2.190	3.576
2.186	3.565
2.183	3.554
2.179	3.542
2.176	3.532
2.172	3.520
2.169	3.509
2.165	3.498
2.162	3.488
2.158	3.476
2.154	3.465
2.151	3.454
2.147	3.443
2.144	3.432
2.140	3.421
2.137	3.410
2.133	3.399
2.130	3.388
2.126	3.377
2.123	3.366
2.119	3.354
2.116	3.344
2.112	3.332
2.108	3.321
2.105	3.310
2.101	3.300
2.098	3.288
2.094	3.277
2.091	3.266
2.087	3.255
2.084	3.244
2.080	3.233
2.077	3.222
2.073	3.211
2.070	3.199
2.066	3.189
2.062	3.177
2.059	3.166
2.055	3.155
2.052	3.144
2.048	3.133
2.045	3.122
2.041	3.111
2.038	3.100
2.034	3.089
2.031	3.078
2.027	3.067
2.024	3.056
2.020	3.045
2.017	3.034
2.013	3.023
2.010	3.011
2.006	3.001
2.002	2.989
1.999	2.978
1.995	2.967
1.992	2.956
1.988	2.945
1.985	2.934
1.981	2.923
1.978	2.912
1.974	2.901
1.971	2.890
1.967	2.878
1.964	2.868
1.960	2.856
1.956	2.845
1.953	2.834
1.949	2.823
