x	y
9.654	5.352
9.701	5.324
9.745	5.293
9.787	5.257
9.826	5.219
9.861	5.177
9.893	5.133
9.920	5.086
9.944	5.037
9.964	4.986
9.980	4.934
9.991	4.880
9.998	4.826
10.000	4.772
10.000	4.772
10.000	4.745
10.000	4.718
10.000	4.691
10.000	4.663
10.000	4.636
10.000	4.609
10.000	4.582
10.000	4.555
10.000	4.528
10.000	4.501
10.000	4.473
10.000	4.446
10.000	4.419
10.000	4.392
10.000	4.365
10.000	4.338
10.000	4.311
10.000	4.284
10.000	4.256
10.000	4.229
10.000	4.202
10.000	4.175
10.000	4.148
10.000	4.121
10.000	4.094
10.000	4.067
10.000	4.039
10.000	4.012
10.000	3.985
10.000	3.958
10.000	3.931
10.000	3.904
10.000	3.877
10.000	3.850
10.000	3.822
10.000	3.795
10.000	3.768
10.000	3.741
10.000	3.714
10.000	3.687
10.000	3.660
10.000	3.633
10.000	3.605
10.000	3.578
10.000	3.551
10.000	3.524
10.000	3.497
10.000	3.470
10.000	3.443
10.000	3.416
10.000	3.388
10.000	3.361
10.000	3.334
10.000	3.307
10.000	3.280
10.000	3.253
10.000	3.226
10.000	3.199
10.000	3.171
10.000	3.144
10.000	3.117
10.000	3.090
10.000	3.063
10.000	3.036
10.000	3.009
10.000	2.982
10.000	2.954
10.000	2.927
10.000	2.900
10.000	2.873
10.000	2.846
10.000	2.819
10.000	2.792
10.000	2.765
10.000	2.737
10.000	2.710
10.000	2.683
10.000	2.656
10.000	2.629
10.000	2.602
10.000	2.575
10.000	2.548
10.000	2.520
10.000	2.493
10.000	2.466
10.000	2.439
10.000	2.412
10.000	2.385
10.000	2.358
10.000	2.331
10.000	2.303
10.000	2.276
10.000	2.249
10.000	2.222
10.000	2.195
10.000	2.168
10.000	2.141
10.000	2.114
10.000	2.086
10.000	2.059
10.000	2.032
10.000	2.005
10.000	1.978
10.000	1.951
10.000	1.924
10.000	1.897
10.000	1.869
10.000	1.842
10.000	1.815
10.000	1.788
10.000	1.761
10.000	1.734
10.000	1.707
10.000	1.680
10.000	1.652
10.000	1.625
10.000	1.598
10.000	1.571
10.000	1.544
10.000	1.517
10.000	1.490
10.000	1.463
10.000	1.435
10.000	1.408
10.000	1.381
10.000	1.354
10.000	1.327
10.000	1.300
10.000	1.273
10.000	1.246
10.000	1.218
10.000	1.191
10.000	1.164
10.000	1.137
10.000	1.110
10.000	1.083
10.000	1.056
10.000	1.028
10.000	1.028
9.973	1.028
9.946	1.028
9.918	1.028
9.891	1.028
9.864	1.028
9.837	1.028
9.810	1.028
9.783	1.028
9.755	1.028
9.728	1.028
9.701	1.028
9.674	1.028
9.647	1.028
9.620	1.028
9.592	1.028
9.565	1.028
9.538	1.028
9.511	1.028
9.484	1.028
9.457	1.028
9.429	1.028
9.402	1.028
9.375	1.028
9.348	1.028
9.321	1.028
9.293	1.028
9.266	1.028
9.239	1.028
9.212	1.028
9.185	1.028
9.158	1.028
9.130	1.028
9.103	1.028
9.076	1.028
9.049	1.028
9.022	1.028
8.995	1.028
8.967	1.028
8.940	1.028
8.913	1.028
8.886	1.028
8.859	1.028
8.832	1.028
8.804	1.028
8.777	1.028
8.750	1.028
8.723	1.028
8.696	1.028
8.668	1.028
8.641	1.028
8.614	1.028
8.587	1.028
8.560	1.028
8.533	1.028
8.505	1.028
8.478	1.028
8.451	1.028
8.424	1.028
8.397	1.028
8.370	1.028
8.342	1.028
8.315	1.028
8.288	1.028
8.261	1.028
8.234	1.028
8.207	1.028
8.179	1.028
8.152	1.028
8.125	1.028
8.098	1.028
8.071	1.028
8.043	1.028
8.016	1.028
7.989	1.028
7.962	1.028
7.935	1.028
7.908	1.028
7.880	1.028
7.853	1.028
7.826	1.028
7.799	1.028
7.772	1.028
7.745	1.028
7.717	1.028
7.690	1.028
7.663	1.028
7.636	1.028
7.609	1.028
7.582	1.028
7.554	1.028
7.527	1.028
7.500	1.028
7.473	1.028
7.446	1.028
7.418	1.028
7.391	1.028
7.364	1.028
7.337	1.028
7.310	1.028
7.283	1.028
7.255	1.028
7.228	1.028
7.201	1.028
7.174	1.028
7.147	1.028
7.120	1.028
7.092	1.028
7.065	1.028
7.038	1.028
7.011	1.028
6.984	1.028
6.957	1.028
6.929	1.028
6.902	1.028
6.875	1.028
6.848	1.028
6.821	1.028
6.793	1.028
6.766	1.028
6.739	1.028
6.712	1.028
6.685	1.028
6.658	1.028
6.630	1.028
6.603	1.028
6.576	1.028
6.549	1.028
6.522	1.028
6.495	1.028
6.467	1.028
6.440	1.028
6.413	1.028
6.386	1.028
6.359	1.028
6.332	1.028
6.304	1.028
6.277	1.028
6.250	1.028
6.223	1.028
6.196	1.028
6.168	1.028
6.141	1.028
6.114	1.028
6.087	1.028
6.060	1.028
6.033	1.028
6.005	1.028
5.978	1.028
5.951	1.028
5.924	1.028
5.897	1.028
5.870	1.028
5.842	1.028
5.815	1.028
5.788	1.028
5.761	1.028
5.734	1.028
5.707	1.028
5.679	1.028
5.652	1.028
5.625	1.028
5.598	1.028
5.571	1.028
5.543	1.028
5.516	1.028
5.489	1.028
5.462	1.028
5.435	1.028
5.408	1.028
5.380	1.028
5.353	1.028
5.326	1.028
5.299	1.028
5.272	1.028
5.245	1.028
5.217	1.028
5.190	1.028
5.163	1.028
