x	y	theta1	theta2	steps1	steps2	interval
5.169	1.931	-23.899	-289.223	272	3291	9641
5.136	2.035	-29.960	-292.540	69	38	202
5.111	1.960	-27.100	-288.386	-33	-47	137
5.103	1.851	-22.068	-283.319	-57	-58	169
5.105	1.741	-16.651	-278.569	-62	-54	181
5.129	1.633	-10.695	-274.666	-68	-44	199
5.165	1.530	-4.530	-271.389	-70	-37	205
5.214	1.431	1.745	-268.716	-71	-30	208
5.273	1.338	8.042	-266.626	-72	-24	210
5.341	1.252	14.316	-265.066	-71	-18	208
5.345	1.358	9.237	-270.063	58	57	169
5.380	1.455	5.621	-275.657	41	64	187
5.437	1.360	11.942	-273.345	-72	-26	210
5.481	1.259	18.184	-270.191	-71	-36	208
5.509	1.153	24.200	-266.286	-68	-44	199
5.518	1.042	29.838	-261.449	-64	-55	187
5.506	0.934	34.762	-256.027	-56	-62	181
5.565	0.920	37.251	-257.327	-28	15	82
5.659	0.978	37.233	-263.138	0	66	193
5.708	0.928	41.166	-262.382	-45	-9	131
5.741	0.823	47.248	-258.555	-69	-44	202
5.790	0.725	53.504	-255.437	-71	-35	208
5.853	0.635	59.799	-253.142	-72	-26	210
5.931	0.557	65.944	-251.852	-70	-15	205
6.022	0.495	71.739	-251.617	-66	-3	193
6.120	0.445	77.181	-252.174	-62	6	181
6.173	0.451	78.497	-254.051	-15	21	61
6.130	0.554	72.268	-257.780	71	42	208
6.108	0.661	66.426	-262.308	66	52	193
6.105	0.771	61.060	-267.557	61	60	178
6.125	0.880	56.506	-273.402	52	67	196
6.193	0.864	59.414	-274.733	-33	15	96
6.284	0.805	65.147	-274.641	-65	-1	190
6.353	0.827	66.366	-277.802	-14	36	105
6.354	0.937	61.232	-283.202	58	61	178
6.389	1.039	57.595	-289.251	41	69	202
6.458	1.125	55.933	-295.458	19	71	208
6.540	1.197	55.387	-301.481	6	69	202
6.620	1.274	54.613	-307.622	9	70	205
6.687	1.361	53.005	-313.886	18	71	208
6.746	1.453	50.900	-320.178	24	72	210
6.793	1.553	48.099	-326.479	32	72	210
6.825	1.659	44.557	-332.567	40	69	202
6.849	1.766	40.660	-338.514	44	68	199
6.856	1.877	36.109	-344.092	52	63	184
6.860	1.987	31.409	-349.547	53	62	181
6.836	1.982	30.722	-348.556	8	-11	32
6.796	1.879	33.762	-342.365	-35	-70	205
6.751	1.779	36.547	-336.132	-32	-71	208
6.689	1.687	38.370	-329.788	-21	-72	210
6.622	1.600	39.928	-323.513	-18	-71	208
6.546	1.519	40.866	-317.283	-11	-71	208
6.468	1.442	41.671	-311.130	-9	-70	205
6.382	1.372	41.927	-305.098	-3	-69	202
6.296	1.302	42.249	-299.028	-4	-69	202
6.206	1.239	42.198	-293.152	1	-67	196
6.113	1.179	41.942	-287.362	3	-66	193
6.019	1.121	41.636	-281.612	3	-65	190
5.942	1.118	39.333	-278.975	26	-30	87
5.904	1.219	33.291	-282.535	69	41	202
5.844	1.311	27.004	-284.862	72	26	210
5.765	1.388	20.821	-285.826	70	11	205
