x	y	theta1	theta2	steps1	steps2	interval
-0.000	1.334	-76.444	-46.902	870	534	2548
0.033	1.334	-76.440	-48.416	0	17	49
0.065	1.334	-76.430	-49.929	0	17	49
0.098	1.334	-76.412	-51.440	0	17	49
0.130	1.334	-76.387	-52.950	0	17	49
0.163	1.334	-76.356	-54.458	0	17	49
0.196	1.334	-76.317	-55.965	0	17	49
0.228	1.334	-76.271	-57.470	-1	17	49
0.261	1.334	-76.219	-58.974	-1	17	49
0.293	1.334	-76.159	-60.476	-1	17	49
0.326	1.334	-76.092	-61.977	-1	17	49
0.359	1.334	-76.018	-63.477	-1	17	49
0.391	1.334	-75.938	-64.975	-1	17	49
0.424	1.334	-75.850	-66.471	-1	17	49
0.457	1.334	-75.755	-67.966	-1	17	49
0.489	1.334	-75.653	-69.459	-1	17	49
0.522	1.334	-75.544	-70.951	-1	17	49
0.554	1.334	-75.429	-72.442	-1	17	49
0.587	1.334	-75.306	-73.930	-1	17	49
0.620	1.334	-75.176	-75.418	-1	17	49
0.652	1.334	-75.039	-76.903	-2	17	49
0.685	1.334	-74.896	-78.387	-2	17	49
0.717	1.334	-74.745	-79.870	-2	17	49
0.750	1.334	-74.587	-81.351	-2	17	49
0.783	1.334	-74.423	-82.830	-2	17	49
0.815	1.334	-74.251	-84.308	-2	17	49
0.848	1.334	-74.073	-85.784	-2	17	49
0.880	1.334	-73.888	-87.258	-2	17	49
0.913	1.334	-73.695	-88.731	-2	17	49
0.946	1.334	-73.496	-90.203	-2	17	49
0.978	1.334	-73.290	-91.672	-2	17	49
1.011	1.334	-73.077	-93.140	-2	17	49
1.043	1.334	-72.857	-94.606	-3	17	49
1.076	1.334	-72.630	-96.071	-3	17	49
1.109	1.334	-72.396	-97.534	-3	17	49
1.141	1.334	-72.156	-98.995	-3	17	49
1.174	1.334	-71.909	-100.454	-3	17	49
1.207	1.334	-71.654	-101.912	-3	17	49
1.239	1.334	-71.393	-103.368	-3	17	49
1.272	1.334	-71.125	-104.822	-3	17	49
1.304	1.334	-70.851	-106.275	-3	17	49
1.337	1.334	-70.569	-107.726	-3	17	49
1.370	1.334	-70.281	-109.175	-3	16	46
1.402	1.334	-69.986	-110.622	-3	16	46
1.435	1.334	-69.684	-112.067	-3	16	46
1.467	1.334	-69.376	-113.511	-4	16	46
1.500	1.334	-69.060	-114.953	-4	16	46
1.533	1.334	-68.738	-116.393	-4	16	46
1.565	1.334	-68.410	-117.831	-4	16	46
1.598	1.334	-68.074	-119.268	-4	16	46
1.630	1.334	-67.732	-120.702	-4	16	46
1.663	1.334	-67.383	-122.135	-4	16	46
1.696	1.334	-67.028	-123.566	-4	16	46
1.728	1.334	-66.666	-124.995	-4	16	46
1.761	1.334	-66.297	-126.422	-4	16	46
1.793	1.334	-65.922	-127.847	-4	16	46
1.826	1.334	-65.540	-129.270	-4	16	46
1.859	1.334	-65.151	-130.692	-4	16	46
1.891	1.334	-64.756	-132.111	-4	16	46
1.924	1.334	-64.354	-133.529	-5	16	46
1.957	1.334	-63.946	-134.944	-5	16	46
1.989	1.334	-63.531	-136.358	-5	16	46
2.022	1.334	-63.110	-137.769	-5	16	46
2.054	1.334	-62.682	-139.179	-5	16	46
2.087	1.334	-62.248	-140.587	-5	16	46
2.120	1.334	-61.808	-141.992	-5	16	46
2.152	1.334	-61.360	-143.396	-5	16	46
2.185	1.334	-60.907	-144.797	-5	16	46
2.217	1.334	-60.447	-146.197	-5	16	46
2.250	1.334	-59.981	-147.594	-5	16	46
2.283	1.334	-59.508	-148.990	-5	16	46
2.315	1.334	-59.029	-150.383	-5	16	46
2.348	1.334	-58.543	-151.775	-6	16	46
2.380	1.334	-58.052	-153.164	-6	16	46
2.413	1.334	-57.554	-154.551	-6	16	46
2.446	1.334	-57.049	-155.936	-6	16	46
2.478	1.334	-56.539	-157.319	-6	16	46
2.511	1.334	-56.022	-158.699	-6	16	46
2.543	1.334	-55.499	-160.078	-6	16	46
2.576	1.334	-54.970	-161.454	-6	16	46
2.609	1.334	-54.434	-162.828	-6	16	46
2.641	1.334	-53.892	-164.200	-6	16	46
2.674	1.334	-53.345	-165.570	-6	16	46
2.707	1.334	-52.791	-166.938	-6	16	46
2.739	1.334	-52.231	-168.303	-6	16	46
2.772	1.334	-51.665	-169.666	-6	16	46
2.804	1.334	-51.092	-171.027	-7	15	43
2.837	1.334	-50.514	-172.386	-7	15	43
2.870	1.334	-49.930	-173.742	-7	15	43
2.902	1.334	-49.339	-175.096	-7	15	43
2.935	1.334	-48.743	-176.448	-7	15	43
2.967	1.334	-48.141	-177.797	-7	15	43
3.000	1.334	-47.533	-179.144	-7	15	43
3.033	1.334	-46.918	-180.489	-7	15	43
3.065	1.334	-46.298	-181.831	-7	15	43
3.098	1.334	-45.672	-183.171	-7	15	43
3.130	1.334	-45.041	-184.509	-7	15	43
3.163	1.334	-44.403	-185.844	-7	15	43
3.196	1.334	-43.759	-187.176	-7	15	43
3.228	1.334	-43.110	-188.507	-7	15	43
3.261	1.334	-42.455	-189.835	-7	15	43
3.293	1.334	-41.794	-191.160	-8	15	43
3.326	1.334	-41.127	-192.483	-8	15	43
3.359	1.334	-40.455	-193.804	-8	15	43
3.391	1.334	-39.777	-195.122	-8	15	43
3.424	1.334	-39.093	-196.437	-8	15	43
3.457	1.334	-38.404	-197.750	-8	15	43
3.489	1.334	-37.709	-199.060	-8	15	43
3.522	1.334	-37.008	-200.368	-8	15	43
3.554	1.334	-36.302	-201.674	-8	15	43
3.587	1.334	-35.590	-202.976	-8	15	43
3.620	1.334	-34.873	-204.276	-8	15	43
3.652	1.334	-34.150	-205.574	-8	15	43
3.685	1.334	-33.422	-206.869	-8	15	43
3.717	1.334	-32.688	-208.161	-8	15	43
3.750	1.334	-31.949	-209.451	-8	15	43
3.783	1.334	-31.204	-210.738	-8	15	43
3.815	1.334	-30.454	-212.022	-9	15	43
3.848	1.334	-29.698	-213.303	-9	15	43
3.880	1.334	-28.937	-214.582	-9	15	43
3.913	1.334	-28.171	-215.858	-9	15	43
3.946	1.334	-27.400	-217.132	-9	14	41
3.978	1.334	-26.623	-218.402	-9	14	41
4.011	1.334	-25.841	-219.670	-9	14	41
4.043	1.334	-25.053	-220.935	-9	14	41
4.076	1.334	-24.261	-222.197	-9	14	41
4.109	1.334	-23.463	-223.456	-9	14	41
4.141	1.334	-22.660	-224.713	-9	14	41
4.174	1.334	-21.852	-225.967	-9	14	41
4.207	1.334	-21.038	-227.217	-9	14	41
4.239	1.334	-20.220	-228.465	-9	14	41
4.272	1.334	-19.396	-229.710	-9	14	41
4.304	1.334	-18.568	-230.952	-9	14	41
4.337	1.334	-17.734	-232.192	-9	14	41
4.370	1.334	-16.895	-233.428	-10	14	41
4.402	1.334	-16.052	-234.661	-10	14	41
4.435	1.334	-15.203	-235.891	-10	14	41
4.467	1.334	-14.349	-237.118	-10	14	41
4.500	1.334	-13.491	-238.342	-10	14	41
4.533	1.334	-12.627	-239.564	-10	14	41
4.565	1.334	-11.759	-240.782	-10	14	41
4.598	1.334	-10.886	-241.997	-10	14	41
4.630	1.334	-10.008	-243.209	-10	14	41
4.663	1.334	-9.125	-244.417	-10	14	41
4.696	1.334	-8.237	-245.623	-10	14	41
4.728	1.334	-7.345	-246.826	-10	14	41
4.761	1.334	-6.447	-248.025	-10	14	41
4.793	1.334	-5.545	-249.221	-10	14	41
4.826	1.334	-4.639	-250.414	-10	14	41
4.859	1.334	-3.727	-251.604	-10	14	41
4.891	1.334	-2.811	-252.791	-10	14	41
4.924	1.334	-1.891	-253.974	-10	13	38
4.957	1.334	-0.965	-255.154	-11	13	38
4.989	1.334	-0.035	-256.331	-11	13	38
5.022	1.334	0.899	-257.504	-11	13	38
5.054	1.334	1.838	-258.674	-11	13	38
5.087	1.334	2.782	-259.841	-11	13	38
5.120	1.334	3.730	-261.005	-11	13	38
5.152	1.334	4.682	-262.165	-11	13	38
5.185	1.334	5.639	-263.321	-11	13	38
