x	y
6.418	1.815
6.433	1.831
6.448	1.847
6.463	1.863
6.475	1.881
6.488	1.900
6.500	1.918
6.512	1.936
6.522	1.955
6.531	1.976
6.539	1.996
6.548	2.017
6.554	2.038
6.535	2.036
6.515	2.026
6.495	2.017
6.474	2.010
6.453	2.003
6.432	1.996
6.411	1.989
6.390	1.982
6.369	1.975
6.348	1.968
6.327	1.961
6.306	1.954
6.286	1.948
6.264	1.946
6.242	1.944
6.220	1.942
6.198	1.940
6.176	1.938
6.153	1.936
6.131	1.934
6.109	1.932
6.087	1.930
6.065	1.928
6.043	1.926
6.021	1.924
6.000	1.923
5.978	1.925
5.955	1.926
5.933	1.928
5.911	1.930
5.889	1.931
5.867	1.933
5.845	1.934
5.823	1.936
5.801	1.938
5.779	1.939
5.757	1.941
5.734	1.943
5.714	1.948
5.692	1.954
5.671	1.961
5.650	1.967
5.629	1.974
5.608	1.980
5.587	1.987
5.566	1.993
5.544	2.000
5.523	2.006
4.166	7.602
4.188	7.598
4.210	7.593
4.231	7.589
4.253	7.585
4.275	7.581
4.296	7.576
4.318	7.572
4.340	7.568
4.361	7.563
4.383	7.559
4.405	7.555
4.426	7.551
4.448	7.546
4.470	7.542
4.492	7.538
4.513	7.534
4.535	7.529
4.557	7.525
4.578	7.521
4.598	7.512
4.618	7.502
4.638	7.492
4.657	7.482
4.677	7.473
4.697	7.463
4.717	7.453
4.737	7.444
4.757	7.434
4.777	7.424
4.797	7.414
4.816	7.405
4.836	7.395
4.856	7.385
4.876	7.376
4.896	7.366
4.916	7.356
4.934	7.345
4.950	7.330
4.967	7.315
4.983	7.300
4.999	7.285
5.015	7.270
5.032	7.255
5.048	7.240
5.064	7.225
5.080	7.210
5.096	7.195
5.113	7.180
5.129	7.165
5.145	7.150
5.161	7.135
5.177	7.120
5.193	7.105
5.210	7.090
5.224	7.074
5.236	7.055
5.248	7.037
5.260	7.018
5.272	7.000
5.284	6.981
5.296	6.962
5.307	6.944
5.319	6.925
5.331	6.906
5.343	6.888
5.355	6.869
5.367	6.851
5.379	6.832
5.391	6.813
5.403	6.795
5.415	6.776
5.427	6.758
5.439	6.739
5.451	6.720
5.461	6.701
5.471	6.681
5.480	6.661
5.489	6.642
5.499	6.621
5.508	6.601
5.516	6.581
5.525	6.561
5.534	6.540
5.543	6.520
5.551	6.500
5.559	6.479
5.568	6.459
5.576	6.438
5.584	6.418
5.593	6.398
5.602	6.377
5.611	6.358
5.623	6.343
5.644	6.349
5.665	6.354
5.686	6.358
5.708	6.363
5.729	6.367
5.751	6.370
5.773	6.373
5.795	6.377
5.817	6.380
5.839	6.383
5.861	6.386
5.882	6.387
5.904	6.388
5.927	6.388
5.949	6.389
5.971	6.390
5.993	6.391
6.015	6.391
6.037	6.391
6.059	6.390
6.081	6.388
6.103	6.387
6.125	6.385
6.148	6.384
6.170	6.383
6.191	6.380
6.213	6.376
6.235	6.373
6.256	6.369
6.278	6.365
6.300	6.361
6.321	6.357
6.343	6.351
6.364	6.346
6.385	6.341
6.393	6.362
6.401	6.383
6.408	6.404
6.416	6.424
6.424	6.445
6.435	6.464
6.445	6.483
6.456	6.503
6.467	6.522
6.477	6.542
6.488	6.561
6.498	6.581
6.509	6.600
6.519	6.619
6.530	6.638
6.541	6.658
6.551	6.677
6.562	6.696
6.573	6.716
6.583	6.735
6.594	6.755
6.604	6.774
6.615	6.794
6.626	6.813
6.636	6.832
6.647	6.852
6.658	6.871
6.668	6.891
6.679	6.910
6.690	6.929
6.700	6.949
6.711	6.968
6.721	6.988
6.732	7.007
6.743	7.026
6.754	7.045
6.771	7.059
6.787	7.074
6.804	7.088
6.821	7.103
6.837	7.117
6.854	7.132
6.871	7.146
6.888	7.161
6.904	7.175
6.921	7.190
6.938	7.204
6.955	7.218
6.971	7.233
6.988	7.247
7.005	7.262
7.021	7.276
7.038	7.291
7.055	7.305
7.072	7.320
7.088	7.334
7.105	7.349
7.122	7.363
7.138	7.378
7.155	7.392
7.172	7.407
7.189	7.421
7.208	7.430
7.229	7.436
7.250	7.442
7.272	7.449
7.293	7.455
7.314	7.461
7.335	7.467
7.357	7.474
7.378	7.480
7.399	7.486
7.420	7.492
7.441	7.499
7.463	7.505
7.484	7.511
7.505	7.518
7.526	7.524
7.547	7.530
7.569	7.536
7.590	7.543
7.611	7.549
7.632	7.555
7.654	7.562
7.675	7.568
7.696	7.574
7.717	7.580
7.738	7.587
7.760	7.593
7.781	7.595
7.803	7.594
7.825	7.593
7.847	7.592
7.869	7.591
7.891	7.590
