x	y
0.000	1.028
0.000	2.050
0.335	3.286
0.986	4.664
2.447	5.445
3.791	5.433
4.726	5.432
5.730	5.432
6.735	5.432
7.739	5.432
8.743	5.432
9.944	5.037
10.000	3.931
10.000	2.927
10.000	1.924
9.918	1.028
8.913	1.028
7.908	1.028
6.902	1.028
5.897	1.028
4.891	1.028
3.886	1.028
2.880	1.028
1.875	1.028
0.870	1.028
0.326	1.875
0.463	3.160
1.104	4.508
2.464	5.276
3.821	5.263
4.139	4.646
3.903	3.778
3.653	2.830
3.416	1.935
2.418	1.439
1.013	1.745
1.073	2.218
0.577	2.389
1.055	3.187
1.547	2.920
1.384	2.038
0.548	2.520
1.008	3.299
2.325	3.788
1.996	4.129
0.671	3.650
1.835	2.252
2.564	1.855
1.937	2.537
2.300	2.880
2.921	3.212
1.534	3.373
2.685	2.510
3.015	3.575
3.271	4.523
2.366	4.749
1.808	4.233
2.697	3.689
1.996	3.734
1.367	4.245
1.017	4.165
1.524	4.628
1.487	4.819
2.176	4.996
2.232	5.021
2.607	5.203
4.452	4.055
5.013	3.178
5.708	3.005
5.449	2.058
4.823	2.266
3.928	2.089
4.612	1.425
5.509	1.431
6.339	2.235
6.593	3.179
6.837	4.122
6.709	5.257
5.761	5.273
5.471	4.726
5.235	3.862
5.932	3.809
6.174	4.754
7.307	4.088
7.047	3.145
6.800	2.208
7.568	1.426
8.707	1.555
9.283	2.657
9.540	3.590
9.827	4.683
8.770	5.270
7.504	4.752
8.856	4.919
8.789	3.894
8.542	2.959
8.270	1.990
7.706	2.480
7.950	3.414
8.208	4.362
