x	y	theta1	theta2	steps1	steps2	interval
5.994	6.241	-167.568	-489.062	1907	5564	16300
5.761	6.241	-178.816	-477.659	128	-130	380
5.528	6.241	-189.928	-466.142	126	-131	383
5.295	6.240	-200.892	-454.521	125	-132	386
5.061	6.240	-211.693	-442.804	123	-133	389
4.833	6.235	-221.913	-431.139	116	-133	389
4.837	6.001	-213.386	-424.963	-97	-70	284
5.033	5.931	-202.150	-432.698	-128	88	375
5.235	5.823	-189.225	-439.459	-147	77	430
5.336	5.624	-177.580	-438.178	-132	-15	386
5.292	5.395	-171.047	-428.790	-74	-107	313
5.235	5.169	-164.796	-418.713	-71	-115	336
5.178	4.943	-158.300	-408.428	-74	-117	342
5.118	4.718	-151.549	-397.940	-77	-119	348
5.058	4.493	-144.553	-387.274	-80	-121	354
4.996	4.268	-137.319	-376.450	-82	-123	360
4.933	4.044	-129.848	-365.435	-85	-125	366
4.869	3.820	-122.169	-354.297	-87	-127	372
4.803	3.596	-114.289	-343.026	-90	-128	375
4.737	3.372	-106.196	-331.646	-92	-129	377
4.671	3.149	-97.864	-320.139	-95	-131	383
4.587	3.286	-107.084	-321.938	105	20	307
4.507	3.505	-120.024	-326.834	147	56	430
4.427	3.724	-132.913	-331.446	147	52	430
4.347	3.943	-145.774	-335.776	146	49	427
4.267	4.162	-158.632	-339.827	146	46	427
4.187	4.380	-171.433	-343.572	146	43	427
4.107	4.600	-184.226	-347.023	146	39	427
4.027	4.818	-196.953	-350.159	145	36	424
3.947	5.037	-209.662	-352.987	145	32	424
3.866	5.256	-222.322	-355.498	144	29	421
3.786	5.475	-234.902	-357.681	143	25	418
3.706	5.694	-247.447	-359.544	143	21	418
3.626	5.913	-259.924	-361.078	142	17	416
3.545	6.132	-272.314	-362.280	141	14	413
3.347	6.183	-282.078	-353.095	111	-105	325
3.174	6.107	-285.152	-342.271	35	-123	360
3.103	5.884	-277.614	-333.340	-86	-102	298
3.033	5.662	-269.690	-324.253	-90	-103	301
2.962	5.440	-261.398	-314.999	-94	-105	307
2.892	5.218	-252.749	-305.564	-98	-107	313
2.821	4.996	-243.801	-295.999	-102	-109	319
2.750	4.773	-234.562	-286.252	-105	-111	325
2.679	4.551	-225.073	-276.384	-108	-112	328
2.608	4.329	-215.335	-266.386	-111	-114	333
2.537	4.107	-205.369	-256.274	-113	-115	336
2.466	3.885	-195.184	-246.040	-116	-116	339
2.395	3.663	-184.816	-235.703	-118	-118	345
2.324	3.441	-174.252	-225.240	-120	-119	351
2.253	3.219	-163.563	-214.656	-122	-120	357
2.176	3.262	-167.277	-212.445	42	-25	123
2.109	3.485	-180.623	-216.423	152	45	445
2.043	3.709	-193.969	-220.168	152	43	445
1.977	3.932	-207.307	-223.685	152	40	445
1.911	4.156	-220.644	-226.956	152	37	445
1.845	4.379	-234.010	-229.984	152	34	445
1.779	4.603	-247.350	-232.747	152	31	445
1.713	4.826	-260.692	-235.249	152	28	445
1.647	5.050	-274.061	-237.490	152	25	445
1.581	5.273	-287.401	-239.451	152	22	445
1.515	5.497	-300.754	-241.158	152	19	445
1.472	5.724	-313.829	-243.934	149	32	436
1.620	5.889	-319.801	-255.332	68	130	380
1.843	5.951	-318.040	-268.519	-20	150	439
1.917	6.120	-324.991	-275.984	79	85	249
1.796	6.233	-333.816	-271.783	100	-48	292
1.563	6.231	-339.184	-259.197	61	-143	418
1.330	6.230	-343.896	-246.580	54	-144	421
1.097	6.228	-347.904	-233.958	46	-144	421
0.864	6.227	-351.178	-221.309	37	-144	421
0.631	6.225	-353.689	-208.606	29	-145	424
0.398	6.224	-355.388	-195.893	19	-145	424
0.165	6.222	-356.268	-183.158	10	-145	424
0.002	6.151	-352.430	-173.025	-44	-115	336
0.048	5.953	-341.075	-172.000	-129	-12	377
0.273	5.898	-337.416	-183.167	-42	127	372
0.468	5.774	-329.324	-191.282	-92	92	269
0.588	5.578	-317.355	-193.761	-136	28	398
0.660	5.356	-304.207	-192.867	-150	-10	439
0.730	5.134	-291.023	-191.643	-150	-14	439
0.799	4.911	-277.820	-190.105	-150	-17	439
0.868	4.688	-264.582	-188.288	-151	-21	442
0.937	4.466	-251.354	-186.225	-151	-23	442
1.005	4.243	-238.141	-183.923	-150	-26	439
1.074	4.020	-224.868	-181.367	-151	-29	442
1.143	3.798	-211.614	-178.577	-151	-32	442
1.212	3.575	-198.327	-175.543	-151	-35	442
1.280	3.352	-185.062	-172.283	-151	-37	442
1.349	3.130	-171.793	-168.794	-151	-40	442
1.418	2.907	-158.492	-165.073	-151	-42	442
1.487	2.684	-145.218	-161.139	-151	-45	442
1.556	2.462	-131.936	-156.986	-151	-47	442
1.625	2.239	-118.644	-152.619	-151	-50	442
1.694	2.016	-105.333	-148.037	-151	-52	442
1.763	1.793	-92.018	-143.244	-151	-55	442
1.960	1.745	-86.826	-150.253	-59	80	234
2.147	1.809	-87.784	-160.826	11	120	351
2.219	2.030	-98.964	-172.106	127	128	375
2.291	2.251	-109.984	-183.278	125	127	372
2.364	2.473	-120.927	-194.426	125	127	372
2.437	2.694	-131.700	-205.470	123	126	369
2.510	2.916	-142.350	-216.454	121	125	366
2.583	3.138	-152.845	-227.352	119	124	363
2.655	3.359	-163.150	-238.136	117	123	360
2.728	3.580	-173.295	-248.847	115	122	357
2.801	3.802	-183.245	-259.457	113	121	354
2.874	4.023	-192.985	-269.962	111	120	351
2.947	4.245	-202.480	-280.341	108	118	345
3.020	4.466	-211.751	-290.629	105	117	342
3.093	4.688	-220.737	-300.788	102	116	339
3.183	4.677	-217.602	-304.860	-36	46	134
3.263	4.458	-204.478	-302.153	-149	-31	436
3.342	4.239	-191.351	-299.158	-149	-34	436
3.422	4.020	-178.206	-295.871	-150	-37	439
3.502	3.801	-165.052	-292.308	-150	-41	439
3.581	3.582	-151.861	-288.466	-150	-44	439
3.661	3.363	-138.660	-284.355	-150	-47	439
3.741	3.144	-125.449	-279.982	-150	-50	439
3.821	2.925	-112.251	-275.367	-150	-53	439
3.901	2.706	-99.016	-270.494	-151	-55	442
3.981	2.487	-85.774	-265.375	-151	-58	442
4.061	2.268	-72.550	-260.032	-150	-61	439
4.141	2.049	-59.293	-254.447	-151	-64	442
4.222	1.830	-46.030	-248.634	-151	-66	442
4.405	1.751	-37.178	-252.547	-101	45	295
4.608	1.795	-33.790	-262.264	-39	111	325
4.675	2.019	-42.983	-274.321	105	137	401
4.742	2.242	-51.989	-286.270	102	136	398
4.809	2.465	-60.800	-298.184	100	136	398
4.875	2.688	-69.429	-310.061	98	135	395
4.942	2.912	-77.848	-321.873	96	134	392
5.010	3.134	-85.989	-333.618	93	134	392
5.079	3.357	-93.880	-345.337	90	133	389
5.147	3.581	-101.524	-356.978	87	132	386
5.216	3.803	-108.851	-368.538	83	132	386
5.287	4.025	-115.862	-380.068	80	131	383
5.357	4.248	-122.585	-391.507	76	130	380
5.429	4.469	-128.928	-402.867	72	129	377
5.501	4.691	-134.917	-414.179	68	129	377
5.574	4.913	-140.576	-425.383	64	127	372
5.648	5.133	-145.799	-436.508	59	127	372
5.724	5.354	-150.569	-447.574	54	126	369
5.808	5.571	-154.486	-458.776	45	127	372
5.926	5.770	-155.799	-470.883	15	138	404
6.113	5.905	-151.373	-484.127	-50	151	442
6.338	5.956	-142.183	-496.322	-105	139	407
6.567	5.923	-130.089	-505.797	-138	108	404
6.767	5.806	-116.815	-510.744	-151	56	442
6.887	5.611	-105.044	-508.903	-134	-21	392
6.899	5.379	-97.196	-500.654	-89	-94	275
6.899	5.146	-89.624	-491.563	-86	-103	301
6.900	4.913	-81.805	-482.240	-89	-106	310
6.900	4.679	-73.750	-472.699	-92	-109	319
6.900	4.446	-65.470	-462.956	-94	-111	325
6.900	4.213	-56.978	-453.022	-97	-113	331
6.900	3.980	-48.300	-442.932	-99	-115	336
6.900	3.747	-39.417	-432.656	-101	-117	342
6.900	3.514	-30.368	-422.246	-103	-118	345
6.900	3.281	-21.126	-411.671	-105	-120	351
6.900	3.047	-11.718	-400.960	-107	-122	357
6.900	2.814	-2.152	-390.123	-109	-123	360
6.900	2.581	7.563	-379.167	-111	-125	366
6.877	2.351	16.403	-367.498	-101	-133	389
6.740	2.175	18.772	-354.753	-27	-145	424
6.515	2.121	12.807	-344.926	68	-112	328
6.332	2.050	9.347	-335.577	39	-106	310
6.345	1.832	19.682	-325.775	-118	-112	345
6.579	1.832	27.955	-333.298	-94	86	275
6.812	1.832	36.408	-340.600	-96	83	281
7.045	1.833	45.035	-347.673	-98	80	287
7.279	1.833	53.829	-354.507	-100	78	292
7.511	1.834	62.763	-361.082	-102	75	298
7.744	1.834	71.850	-367.401	-103	72	301
7.978	1.835	81.101	-373.468	-105	69	307
8.211	1.835	90.493	-379.259	-107	66	313
8.379	1.901	94.713	-386.706	-48	85	249
8.353	2.108	85.475	-396.847	105	115	336
8.121	2.131	74.930	-392.343	120	-51	351
7.896	2.186	63.506	-389.301	130	-35	380
7.763	2.366	50.867	-394.772	144	62	421
7.742	2.598	40.746	-405.699	115	124	363
7.739	2.831	31.489	-417.145	105	130	380
7.737	3.064	22.423	-428.513	103	129	377
7.736	3.297	13.520	-439.811	101	129	377
7.735	3.530	4.789	-450.994	99	127	372
7.902	3.567	10.840	-457.973	-69	79	231
8.135	3.559	21.525	-464.609	-122	75	357
8.367	3.564	31.851	-471.555	-117	79	342
8.597	3.593	41.363	-479.329	-108	88	316
8.822	3.654	49.700	-488.374	-95	103	301
9.039	3.738	57.066	-498.084	-84	110	322
9.246	3.845	63.448	-508.618	-73	120	351
9.424	3.994	67.330	-520.538	-44	136	398
9.579	4.165	69.707	-533.016	-27	142	416
9.708	4.360	70.313	-546.147	-7	149	436
9.788	4.578	68.174	-559.464	24	152	445
9.831	4.807	64.069	-572.547	47	149	436
9.838	5.040	58.311	-584.991	66	142	416
9.810	5.271	50.990	-596.396	83	130	380
9.741	5.493	42.002	-606.124	102	111	325
9.630	5.697	31.367	-613.516	121	84	354
9.477	5.871	19.318	-617.764	137	48	401
9.294	6.014	6.466	-618.954	146	14	427
9.084	6.114	-6.839	-616.631	151	-26	442
8.861	6.180	-20.066	-611.706	150	-56	439
8.632	6.219	-33.021	-604.879	147	-78	430
8.400	6.241	-45.677	-596.762	144	-92	421
8.167	6.244	-57.900	-587.547	139	-105	407
7.935	6.245	-70.015	-577.918	138	-110	404
7.702	6.245	-82.034	-567.982	137	-113	401
7.468	6.245	-93.994	-557.777	136	-116	398
7.236	6.244	-105.857	-547.382	135	-118	395
7.002	6.243	-117.663	-536.771	134	-121	392
6.769	6.243	-129.364	-525.999	133	-123	389
6.536	6.242	-140.995	-515.040	132	-125	386
7.977	5.939	-60.079	-567.470	-921	597	2698
7.769	5.854	-68.423	-555.590	95	-135	395
7.731	5.631	-64.158	-545.008	-49	-120	351
7.729	5.398	-57.570	-535.256	-75	-111	325
7.728	5.165	-50.636	-525.326	-79	-113	331
7.729	4.932	-43.384	-515.266	-83	-114	333
7.731	4.699	-35.865	-505.001	-86	-117	342
7.733	4.466	-28.124	-494.588	-88	-118	345
7.735	4.233	-20.144	-483.993	-91	-121	354
7.737	3.999	-11.959	-473.241	-93	-122	357
7.933	3.924	-0.414	-476.087	-131	32	383
8.166	3.915	10.503	-482.912	-124	78	363
8.390	3.973	18.935	-492.447	-96	108	316
8.590	4.087	24.515	-503.910	-63	130	380
8.745	4.258	26.455	-516.796	-22	147	430
8.848	4.465	25.006	-530.018	16	150	439
8.908	4.689	21.260	-542.892	43	146	427
8.925	4.921	15.423	-554.789	66	135	395
8.916	5.153	8.498	-565.814	79	125	366
8.859	5.379	-0.478	-574.863	102	103	301
8.756	5.586	-11.136	-581.127	121	71	354
8.602	5.756	-23.383	-583.504	139	27	407
8.404	5.873	-36.502	-581.374	149	-24	436
10.044	6.248	41.352	-652.529	-886	810	2595
10.006	6.051	43.382	-641.541	-23	-125	366
10.166	5.962	53.787	-640.859	-118	-8	345
10.393	5.916	66.859	-643.559	-149	31	436
10.546	5.753	78.452	-637.799	-132	-66	386
10.576	5.523	85.072	-625.805	-75	-136	398
10.582	5.290	90.694	-613.153	-64	-144	421
10.583	5.057	96.283	-600.340	-64	-146	427
10.584	4.823	102.089	-587.480	-66	-146	427
10.584	4.590	108.096	-574.605	-68	-146	427
10.585	4.357	114.323	-561.666	-71	-147	430
10.586	4.124	120.751	-548.696	-73	-148	433
10.587	3.891	127.355	-535.721	-75	-148	433
10.587	3.658	134.161	-522.693	-77	-148	433
10.588	3.424	141.152	-509.642	-80	-148	433
10.588	3.191	148.323	-496.569	-82	-149	436
10.589	2.958	155.669	-483.478	-84	-149	436
10.590	2.724	163.184	-470.370	-86	-149	436
10.581	2.492	170.383	-457.191	-82	-150	439
10.522	2.269	175.153	-444.022	-54	-150	439
10.330	2.151	170.358	-435.205	55	-100	292
10.100	2.118	161.104	-430.420	105	-54	307
10.014	1.961	162.824	-420.527	-20	-113	331
10.126	1.839	172.163	-415.252	-106	-60	310
10.359	1.840	182.593	-418.062	-119	32	348
10.592	1.840	193.135	-420.519	-120	28	351
10.825	1.840	203.764	-422.609	-121	24	354
11.058	1.840	214.454	-424.331	-122	20	357
11.291	1.840	225.246	-425.695	-123	16	360
11.524	1.841	236.080	-426.706	-123	12	360
11.758	1.842	246.978	-427.362	-124	7	363
11.991	1.846	257.859	-427.788	-124	5	363
11.998	2.076	250.858	-440.983	80	150	439
11.802	2.137	239.581	-444.340	128	38	375
11.579	2.196	227.071	-447.231	142	33	416
11.455	2.379	215.344	-457.224	133	114	389
11.429	2.610	206.832	-470.322	97	149	436
11.425	2.843	199.498	-483.605	83	151	442
11.425	3.076	192.470	-496.926	80	152	445
11.425	3.309	185.627	-510.218	78	151	442
11.424	3.542	178.944	-523.533	76	151	442
11.424	3.776	172.442	-536.843	74	151	442
11.424	4.009	166.124	-550.150	72	151	442
11.424	4.242	160.011	-563.425	70	151	442
11.423	4.475	154.084	-576.722	67	151	442
11.423	4.709	148.355	-590.013	65	151	442
11.423	4.942	142.831	-603.296	63	151	442
11.423	5.175	137.514	-616.572	60	151	442
11.423	5.408	132.411	-629.839	58	151	442
11.428	5.641	127.815	-643.104	52	151	442
11.511	5.854	128.029	-655.781	-2	144	421
11.715	5.950	137.238	-662.347	-105	75	307
11.946	5.980	149.194	-664.637	-136	26	398
11.985	6.180	147.747	-676.111	16	131	383
11.829	6.255	137.932	-680.182	112	46	328
