x	y	theta1	theta2	steps1	steps2	interval
4.995	5.118	127.700	41.119	771	323	2258
4.801	5.117	128.986	42.427	-15	-15	43
4.607	5.117	130.257	43.756	-14	-15	43
4.412	5.117	131.511	45.105	-14	-15	43
4.218	5.116	132.749	46.475	-14	-16	46
4.028	5.112	133.964	47.807	-14	-15	43
4.031	4.918	135.007	46.576	-12	14	41
4.194	4.859	134.279	45.023	8	18	52
4.363	4.769	133.649	43.234	7	20	58
4.446	4.603	133.936	41.582	-3	19	55
4.410	4.413	135.131	40.665	-14	10	41
4.363	4.224	136.379	39.863	-14	9	41
4.315	4.036	137.628	39.101	-14	9	41
4.265	3.848	138.881	38.377	-14	8	41
4.215	3.661	140.140	37.691	-14	8	41
4.163	3.474	141.403	37.042	-14	7	41
4.111	3.286	142.680	36.431	-15	7	43
4.057	3.100	143.964	35.860	-15	6	43
4.003	2.913	145.260	35.330	-15	6	43
3.948	2.727	146.567	34.838	-15	6	43
3.892	2.541	147.890	34.380	-15	5	43
3.822	2.655	147.910	35.620	0	-14	41
3.756	2.838	147.550	37.163	4	-18	52
3.689	3.020	147.157	38.689	4	-17	49
3.623	3.202	146.733	40.205	5	-17	49
3.556	3.385	146.276	41.716	5	-17	49
3.489	3.567	145.791	43.218	6	-17	49
3.422	3.750	145.275	44.720	6	-17	49
3.356	3.932	144.731	46.217	6	-17	49
3.289	4.114	144.158	47.718	7	-17	49
3.222	4.297	143.556	49.221	7	-17	49
3.155	4.479	142.927	50.727	7	-17	49
3.088	4.662	142.269	52.244	7	-17	49
3.021	4.844	141.582	53.770	8	-17	49
2.954	5.026	140.867	55.307	8	-17	49
2.789	5.069	141.538	56.824	-8	-17	49
2.645	5.005	142.730	57.597	-14	-9	41
2.586	4.820	144.212	57.062	-17	6	49
2.527	4.635	145.691	56.568	-17	6	49
2.469	4.450	147.172	56.112	-17	5	49
2.410	4.265	148.661	55.694	-17	5	49
2.351	4.080	150.151	55.316	-17	4	49
2.292	3.894	151.654	54.979	-17	4	49
2.233	3.709	153.164	54.683	-17	3	49
2.173	3.524	154.685	54.425	-17	3	49
2.114	3.339	156.218	54.206	-17	2	49
2.055	3.154	157.766	54.027	-18	2	52
1.996	2.969	159.330	53.888	-18	2	52
1.937	2.784	160.915	53.792	-18	1	52
1.877	2.599	162.523	53.744	-18	1	52
1.813	2.635	162.698	54.465	-2	-8	23
1.758	2.821	161.806	55.587	10	-13	38
1.703	3.007	160.902	56.721	10	-13	38
1.648	3.193	159.985	57.866	10	-13	38
1.593	3.380	159.057	59.025	11	-13	38
1.538	3.566	158.113	60.203	11	-13	38
1.483	3.752	157.159	61.397	11	-14	41
1.428	3.938	156.192	62.610	11	-14	41
1.372	4.125	155.209	63.846	11	-14	41
1.317	4.311	154.215	65.103	11	-14	41
1.262	4.498	153.202	66.385	12	-15	43
1.227	4.686	152.062	67.538	13	-13	38
1.350	4.824	150.533	67.153	17	4	49
1.536	4.876	149.302	65.856	14	15	43
1.598	5.017	148.048	66.053	14	-2	41
1.497	5.110	147.879	67.357	2	-15	43
