x	y	theta1	theta2	steps1	steps2	interval
0.531	0.000	192.357	63.814	36	65	190
0.531	3.429	164.211	68.734	320	-56	937
0.889	6.500	140.228	80.726	273	-136	799
4.317	6.500	124.048	55.344	184	289	846
7.762	6.500	101.595	37.172	255	207	747
9.469	4.794	96.102	15.834	62	243	711
9.469	1.349	101.035	-17.732	-56	382	1119
7.405	0.000	118.803	-22.158	-202	50	591
3.960	0.000	158.378	21.012	-450	-491	1438
0.531	0.000	192.357	63.814	-387	-487	1426
