x	y	theta1	theta2	steps1	steps2	interval
5.169	1.931	-23.899	-289.223	272	3291	9641
5.161	1.951	-25.155	-289.828	14	7	41
5.153	1.972	-26.370	-290.454	14	7	41
5.147	1.993	-27.570	-291.117	14	8	41
5.141	2.014	-28.753	-291.814	13	8	38
5.136	2.035	-29.960	-292.540	14	8	41
5.130	2.046	-30.667	-292.810	8	3	23
5.124	2.025	-29.836	-291.644	-9	-13	38
5.118	2.004	-28.992	-290.521	-10	-13	38
5.114	1.982	-28.077	-289.448	-10	-12	35
5.111	1.960	-27.100	-288.386	-11	-12	35
5.109	1.939	-26.131	-287.367	-11	-12	35
5.107	1.917	-25.128	-286.328	-11	-12	35
5.105	1.895	-24.129	-285.326	-11	-11	32
5.104	1.873	-23.092	-284.301	-12	-12	35
5.103	1.851	-22.068	-283.319	-12	-11	35
5.102	1.829	-21.009	-282.321	-12	-11	35
5.102	1.807	-19.948	-281.321	-12	-11	35
5.102	1.785	-18.881	-280.386	-12	-11	35
5.103	1.763	-17.776	-279.435	-13	-11	38
5.105	1.741	-16.651	-278.569	-13	-10	38
5.108	1.719	-15.483	-277.694	-13	-10	38
5.112	1.698	-14.325	-276.913	-13	-9	38
5.117	1.676	-13.133	-276.118	-14	-9	41
5.122	1.655	-11.955	-275.387	-13	-8	38
5.128	1.634	-10.727	-274.684	-14	-8	41
5.135	1.613	-9.498	-273.979	-14	-8	41
5.141	1.592	-8.270	-273.273	-14	-8	41
5.148	1.570	-7.041	-272.565	-14	-8	41
5.156	1.551	-5.820	-271.980	-14	-7	41
5.165	1.530	-4.562	-271.404	-14	-7	41
5.174	1.510	-3.304	-270.825	-14	-7	41
5.183	1.490	-2.046	-270.244	-14	-7	41
5.192	1.470	-0.788	-269.661	-14	-7	41
5.202	1.451	0.445	-269.189	-14	-5	41
5.214	1.432	1.713	-268.728	-14	-5	41
5.225	1.413	2.981	-268.265	-14	-5	41
5.236	1.393	4.249	-267.800	-14	-5	41
5.247	1.374	5.517	-267.332	-14	-5	41
5.259	1.357	6.748	-266.967	-14	-4	41
5.273	1.339	8.010	-266.634	-14	-4	41
5.286	1.321	9.272	-266.299	-14	-4	41
5.299	1.303	10.534	-265.961	-14	-4	41
5.312	1.286	11.796	-265.621	-14	-4	41
5.326	1.269	13.024	-265.344	-14	-3	41
5.341	1.252	14.284	-265.073	-14	-3	41
5.342	1.270	13.473	-265.936	9	10	29
5.343	1.291	12.422	-266.931	12	11	35
5.343	1.314	11.344	-267.952	12	12	35
5.344	1.335	10.307	-268.967	12	12	35
5.345	1.357	9.289	-270.006	12	12	35
5.348	1.380	8.281	-271.111	11	13	38
5.352	1.401	7.372	-272.216	10	13	38
5.358	1.422	6.536	-273.381	10	13	38
5.366	1.442	5.815	-274.581	8	14	41
5.380	1.455	5.588	-275.665	3	12	35
5.392	1.438	6.804	-275.308	-14	-4	41
5.403	1.419	8.072	-274.827	-14	-5	41
