x	y
5.994	6.241
5.761	6.241
5.528	6.241
5.295	6.240
5.061	6.240
4.833	6.235
4.837	6.001
5.033	5.931
5.235	5.823
5.336	5.624
5.292	5.395
5.235	5.169
5.178	4.943
5.118	4.718
5.058	4.493
4.996	4.268
4.933	4.044
4.869	3.820
4.803	3.596
4.737	3.372
4.671	3.149
4.587	3.286
4.507	3.505
4.427	3.724
4.347	3.943
4.267	4.162
4.187	4.380
4.107	4.600
4.027	4.818
3.947	5.037
3.866	5.256
3.786	5.475
3.706	5.694
3.626	5.913
3.545	6.132
3.347	6.183
3.174	6.107
3.103	5.884
3.033	5.662
2.962	5.440
2.892	5.218
2.821	4.996
2.750	4.773
2.679	4.551
2.608	4.329
2.537	4.107
2.466	3.885
2.395	3.663
2.324	3.441
2.253	3.219
2.176	3.262
2.109	3.485
2.043	3.709
1.977	3.932
1.911	4.156
1.845	4.379
1.779	4.603
1.713	4.826
1.647	5.050
1.581	5.273
1.515	5.497
1.472	5.724
1.620	5.889
1.843	5.951
1.917	6.120
1.796	6.233
1.563	6.231
1.330	6.230
1.097	6.228
0.864	6.227
0.631	6.225
0.398	6.224
0.165	6.222
0.002	6.151
0.048	5.953
0.273	5.898
0.468	5.774
0.588	5.578
0.660	5.356
0.730	5.134
0.799	4.911
0.868	4.688
0.937	4.466
1.005	4.243
1.074	4.020
1.143	3.798
1.212	3.575
1.280	3.352
1.349	3.130
1.418	2.907
1.487	2.684
1.556	2.462
1.625	2.239
1.694	2.016
1.763	1.793
1.960	1.745
2.147	1.809
2.219	2.030
2.291	2.251
2.364	2.473
2.437	2.694
2.510	2.916
2.583	3.138
2.655	3.359
2.728	3.580
2.801	3.802
2.874	4.023
2.947	4.245
3.020	4.466
3.093	4.688
3.183	4.677
3.263	4.458
3.342	4.239
3.422	4.020
3.502	3.801
3.581	3.582
3.661	3.363
3.741	3.144
3.821	2.925
3.901	2.706
3.981	2.487
4.061	2.268
4.141	2.049
4.222	1.830
4.405	1.751
4.608	1.795
4.675	2.019
4.742	2.242
4.809	2.465
4.875	2.688
4.942	2.912
5.010	3.134
5.079	3.357
5.147	3.581
5.216	3.803
5.287	4.025
5.357	4.248
5.429	4.469
5.501	4.691
5.574	4.913
5.648	5.133
5.724	5.354
5.808	5.571
5.926	5.770
6.113	5.905
6.338	5.956
6.567	5.923
6.767	5.806
6.887	5.611
6.899	5.379
6.899	5.146
6.900	4.913
6.900	4.679
6.900	4.446
6.900	4.213
6.900	3.980
6.900	3.747
6.900	3.514
6.900	3.281
6.900	3.047
6.900	2.814
6.900	2.581
6.877	2.351
6.740	2.175
6.515	2.121
6.332	2.050
6.345	1.832
6.579	1.832
6.812	1.832
7.045	1.833
7.279	1.833
7.511	1.834
7.744	1.834
7.978	1.835
8.211	1.835
8.379	1.901
8.353	2.108
8.121	2.131
7.896	2.186
7.763	2.366
7.742	2.598
7.739	2.831
7.737	3.064
7.736	3.297
7.735	3.530
7.902	3.567
8.135	3.559
8.367	3.564
8.597	3.593
8.822	3.654
9.039	3.738
9.246	3.845
9.424	3.994
9.579	4.165
9.708	4.360
9.788	4.578
9.831	4.807
9.838	5.040
9.810	5.271
9.741	5.493
9.630	5.697
9.477	5.871
9.294	6.014
9.084	6.114
8.861	6.180
8.632	6.219
8.400	6.241
8.167	6.244
7.935	6.245
7.702	6.245
7.468	6.245
7.236	6.244
7.002	6.243
6.769	6.243
6.536	6.242
7.977	5.939
7.769	5.854
7.731	5.631
7.729	5.398
7.728	5.165
7.729	4.932
7.731	4.699
7.733	4.466
7.735	4.233
7.737	3.999
7.933	3.924
8.166	3.915
8.390	3.973
8.590	4.087
8.745	4.258
8.848	4.465
8.908	4.689
8.925	4.921
8.916	5.153
8.859	5.379
8.756	5.586
8.602	5.756
8.404	5.873
10.044	6.248
10.006	6.051
10.166	5.962
10.393	5.916
10.546	5.753
10.576	5.523
10.582	5.290
10.583	5.057
10.584	4.823
10.584	4.590
10.585	4.357
10.586	4.124
10.587	3.891
10.587	3.658
10.588	3.424
10.588	3.191
10.589	2.958
10.590	2.724
10.581	2.492
10.522	2.269
10.330	2.151
10.100	2.118
10.014	1.961
10.126	1.839
10.359	1.840
10.592	1.840
10.825	1.840
11.058	1.840
11.291	1.840
11.524	1.841
11.758	1.842
11.991	1.846
11.998	2.076
11.802	2.137
11.579	2.196
11.455	2.379
11.429	2.610
11.425	2.843
11.425	3.076
11.425	3.309
11.424	3.542
11.424	3.776
11.424	4.009
11.424	4.242
11.423	4.475
11.423	4.709
11.423	4.942
11.423	5.175
11.423	5.408
11.428	5.641
11.511	5.854
11.715	5.950
11.946	5.980
11.985	6.180
11.829	6.255
11.595	6.254
11.362	6.254
11.129	6.253
10.896	6.253
10.663	6.252
10.430	6.251
10.196	6.250
