x	y	theta1	theta2	steps1	steps2	interval
0.000	1.028	185.825	69.359	110	1	322
0.000	1.056	185.582	69.373	3	0	8
0.000	1.084	185.339	69.387	3	0	8
0.000	1.111	185.097	69.403	3	0	8
0.000	1.139	184.856	69.419	3	0	8
0.000	1.167	184.615	69.436	3	0	8
0.000	1.194	184.375	69.454	3	0	8
0.000	1.222	184.136	69.473	3	0	8
0.000	1.249	183.897	69.492	3	0	8
0.000	1.277	183.659	69.513	3	0	8
0.000	1.305	183.422	69.534	3	0	8
0.000	1.332	183.185	69.556	3	0	8
0.000	1.360	182.949	69.579	3	0	8
0.000	1.387	182.714	69.603	3	0	8
0.000	1.415	182.479	69.628	3	0	8
0.000	1.443	182.245	69.653	3	0	8
0.000	1.470	182.011	69.679	3	0	8
0.000	1.498	181.778	69.706	3	0	8
0.000	1.525	181.546	69.734	3	0	8
0.000	1.553	181.314	69.763	3	0	8
0.000	1.581	181.083	69.793	3	0	8
0.000	1.608	180.852	69.823	3	0	8
0.000	1.636	180.622	69.854	3	0	8
0.000	1.664	180.392	69.886	3	0	8
0.000	1.691	180.163	69.919	3	0	8
0.000	1.719	179.934	69.952	3	0	8
0.000	1.746	179.706	69.987	3	0	8
0.000	1.774	179.479	70.022	3	0	8
0.000	1.802	179.252	70.058	3	0	8
0.000	1.829	179.025	70.094	3	0	8
0.000	1.857	178.799	70.132	3	0	8
0.000	1.884	178.573	70.170	3	0	8
0.000	1.912	178.348	70.209	3	0	8
0.000	1.940	178.124	70.249	3	0	8
0.000	1.967	177.899	70.290	3	0	8
0.000	1.995	177.676	70.331	3	0	8
0.000	2.022	177.452	70.373	3	0	8
0.000	2.050	177.230	70.416	3	0	8
0.000	2.078	177.007	70.460	3	0	8
0.000	2.105	176.785	70.505	3	-1	8
0.000	2.133	176.564	70.550	3	-1	8
0.000	2.160	176.343	70.596	3	-1	8
0.000	2.188	176.122	70.643	3	-1	8
0.000	2.216	175.902	70.691	3	-1	8
0.000	2.243	175.682	70.739	3	-1	8
0.000	2.271	175.462	70.788	2	-1	5
0.000	2.299	175.243	70.838	2	-1	5
0.000	2.299	175.243	70.838	0	0	0
0.003	2.354	174.792	70.914	5	-1	14
0.011	2.409	174.321	70.937	5	0	14
0.011	2.409	174.321	70.937	0	0	0
0.024	2.466	173.814	70.930	6	0	17
0.038	2.523	173.307	70.916	6	0	17
0.053	2.579	172.798	70.894	6	0	17
