x	y
5.169	1.931
5.136	2.035
5.111	1.960
5.103	1.851
5.105	1.741
5.129	1.633
5.165	1.530
5.214	1.431
5.273	1.338
5.341	1.252
5.345	1.358
5.380	1.455
5.437	1.360
5.481	1.259
5.509	1.153
5.518	1.042
5.506	0.934
5.565	0.920
5.659	0.978
5.708	0.928
5.741	0.823
5.790	0.725
5.853	0.635
5.931	0.557
6.022	0.495
6.120	0.445
6.173	0.451
6.130	0.554
6.108	0.661
6.105	0.771
6.125	0.880
6.193	0.864
6.284	0.805
6.353	0.827
6.354	0.937
6.389	1.039
6.458	1.125
6.540	1.197
6.620	1.274
6.687	1.361
6.746	1.453
6.793	1.553
6.825	1.659
6.849	1.766
6.856	1.877
6.860	1.987
6.836	1.982
6.796	1.879
6.751	1.779
6.689	1.687
6.622	1.600
6.546	1.519
6.468	1.442
6.382	1.372
6.296	1.302
6.206	1.239
6.113	1.179
6.019	1.121
5.942	1.118
5.904	1.219
5.844	1.311
5.765	1.388
5.679	1.457
5.589	1.521
5.499	1.585
5.410	1.651
5.326	1.723
5.252	1.804
5.189	1.894
5.445	2.011
5.492	1.911
5.559	1.825
5.644	1.754
5.738	1.699
5.840	1.657
5.947	1.630
6.056	1.631
6.163	1.660
6.264	1.703
6.357	1.761
6.438	1.836
6.504	1.924
6.551	2.023
6.467	2.008
6.362	1.973
6.256	1.945
6.146	1.935
6.035	1.925
5.925	1.929
5.815	1.937
5.706	1.950
5.600	1.983
4.174	7.600
4.282	7.579
4.391	7.558
4.500	7.536
4.605	7.508
4.705	7.459
4.804	7.411
4.904	7.362
4.989	7.294
5.070	7.219
5.151	7.144
5.229	7.066
5.289	6.973
5.349	6.880
5.408	6.787
5.465	6.692
5.511	6.593
5.555	6.491
5.597	6.389
5.675	6.356
5.783	6.375
5.892	6.387
6.003	6.391
6.114	6.386
6.223	6.375
6.331	6.354
6.404	6.392
6.450	6.492
6.503	6.589
6.556	6.687
6.610	6.784
6.663	6.881
6.716	6.978
6.779	7.067
6.863	7.139
6.946	7.211
7.030	7.284
7.114	7.356
7.198	7.427
7.304	7.458
7.410	7.489
7.516	7.521
7.623	7.552
7.729	7.584
7.837	7.592
7.948	7.588
8.058	7.583
8.169	7.578
8.279	7.574
8.390	7.569
8.500	7.563
8.609	7.543
8.717	7.519
8.824	7.492
8.931	7.463
9.037	7.434
9.143	7.405
9.250	7.375
9.357	7.349
9.464	7.323
9.573	7.301
9.682	7.282
9.791	7.266
9.900	7.254
10.011	7.246
10.121	7.240
10.231	7.238
10.341	7.241
10.306	7.212
10.199	7.186
10.090	7.166
9.980	7.156
9.870	7.154
9.759	7.155
9.649	7.157
9.539	7.161
9.428	7.165
9.318	7.170
9.208	7.178
9.098	7.188
8.987	7.200
8.928	7.285
8.870	7.339
8.831	7.236
8.792	7.133
8.752	7.030
8.708	7.000
8.671	7.104
8.635	7.208
8.555	7.259
8.446	7.273
8.337	7.285
8.273	7.367
8.217	7.462
8.179	7.429
8.157	7.322
8.135	7.214
8.113	7.106
8.083	7.039
8.032	7.138
7.983	7.237
7.902	7.276
7.794	7.254
7.687	7.227
7.591	7.265
7.501	7.329
7.458	7.320
7.482	7.213
7.507	7.106
7.533	6.998
7.557	6.891
7.543	6.844
7.466	6.922
7.390	7.002
7.314	7.014
7.242	6.931
7.173	6.845
7.120	6.748
7.073	6.649
7.037	6.544
7.008	6.438
6.985	6.329
6.963	6.221
7.065	6.242
7.174	6.260
7.284	6.264
7.394	6.264
7.504	6.261
7.613	6.246
7.718	6.212
7.818	6.166
7.912	6.109
7.997	6.039
8.072	5.958
8.134	5.868
8.187	5.771
8.235	5.672
8.283	5.572
8.333	5.474
8.384	5.375
8.439	5.279
8.496	5.185
8.559	5.094
8.627	5.007
8.698	4.923
8.776	4.845
8.860	4.774
8.949	4.709
8.988	4.652
8.878	4.644
8.768	4.642
8.658	4.654
8.548	4.667
8.442	4.697
8.337	4.731
8.238	4.779
8.141	4.833
8.051	4.895
7.966	4.967
7.883	5.039
7.807	5.120
7.737	5.205
7.673	5.295
7.613	5.387
7.558	5.483
7.502	5.578
7.442	5.670
7.372	5.755
7.289	5.829
7.194	5.885
7.090	5.920
7.016	5.911
7.097	5.837
7.165	5.750
7.208	5.649
7.225	5.541
7.223	5.430
7.274	5.363
7.374	5.318
7.460	5.249
7.528	5.163
7.547	5.076
7.437	5.072
7.331	5.041
7.231	4.995
7.137	4.937
7.050	4.869
6.969	4.794
6.889	4.717
6.815	4.636
6.742	4.553
6.673	4.466
6.602	4.396
6.552	4.495
6.502	4.576
6.488	4.467
6.486	4.356
6.489	4.245
6.499	4.135
6.527	4.029
6.571	3.928
6.604	3.964
6.642	4.067
6.693	4.165
6.752	4.204
6.801	4.106
6.859	4.012
6.942	4.009
7.011	4.095
7.074	4.185
7.128	4.281
7.113	4.324
7.007	4.298
6.909	4.335
6.878	4.430
6.954	4.509
7.012	4.509
7.081	4.432
7.174	4.476
7.217	4.576
7.201	4.683
7.222	4.775
7.306	4.826
7.330	4.720
7.340	4.610
7.337	4.500
7.317	4.392
7.280	4.287
7.252	4.209
7.340	4.274
