x	y	theta1	theta2	steps1	steps2	interval
0.202	5.760	148.331	81.824	0	0	0
0.201	5.760	148.333	81.828	0	0	0
0.201	5.760	148.336	81.832	0	0	0
0.200	5.760	148.338	81.836	0	0	0
0.200	5.760	148.341	81.839	0	0	0
0.199	5.760	148.343	81.843	0	0	0
0.199	5.760	148.345	81.847	0	0	0
0.198	5.759	148.348	81.851	0	0	0
0.198	5.759	148.350	81.855	0	0	0
0.197	5.759	148.352	81.859	0	0	0
0.197	5.759	148.355	81.862	0	0	0
0.196	5.759	148.357	81.866	0	0	0
0.196	5.759	148.359	81.870	0	0	0
0.195	5.759	148.362	81.874	0	0	0
0.195	5.759	148.364	81.878	0	0	0
0.194	5.759	148.367	81.882	0	0	0
0.194	5.759	148.369	81.885	0	0	0
0.193	5.759	148.371	81.889	0	0	0
0.193	5.758	148.374	81.893	0	0	0
0.192	5.758	148.376	81.897	0	0	0
0.192	5.758	148.378	81.901	0	0	0
0.191	5.758	148.381	81.905	0	0	0
0.191	5.758	148.383	81.908	0	0	0
0.190	5.758	148.385	81.912	0	0	0
0.190	5.758	148.388	81.916	0	0	0
0.189	5.758	148.390	81.920	0	0	0
0.189	5.758	148.393	81.924	0	0	0
0.188	5.758	148.395	81.928	0	0	0
0.188	5.758	148.397	81.932	0	0	0
0.187	5.757	148.400	81.935	0	0	0
0.187	5.757	148.402	81.939	0	0	0
0.186	5.757	148.404	81.943	0	0	0
0.186	5.757	148.407	81.947	0	0	0
0.185	5.757	148.409	81.951	0	0	0
0.185	5.757	148.411	81.955	0	0	0
0.184	5.757	148.414	81.958	0	0	0
0.184	5.757	148.416	81.962	0	0	0
0.183	5.757	148.419	81.966	0	0	0
0.183	5.757	148.421	81.970	0	0	0
0.182	5.757	148.423	81.974	0	0	0
0.182	5.756	148.426	81.978	0	0	0
0.181	5.756	148.428	81.981	0	0	0
0.181	5.756	148.430	81.985	0	0	0
0.180	5.756	148.433	81.989	0	0	0
0.180	5.756	148.435	81.993	0	0	0
0.179	5.756	148.437	81.997	0	0	0
0.179	5.756	148.440	82.001	0	0	0
0.178	5.756	148.442	82.005	0	0	0
0.178	5.756	148.442	82.005	0	0	0
0.178	5.756	148.445	82.008	0	0	0
0.177	5.756	148.447	82.012	0	0	0
0.177	5.756	148.449	82.016	0	0	0
0.176	5.755	148.452	82.020	0	0	0
0.176	5.755	148.454	82.023	0	0	0
0.175	5.755	148.457	82.027	0	0	0
0.175	5.755	148.459	82.031	0	0	0
0.174	5.755	148.462	82.035	0	0	0
0.174	5.755	148.464	82.039	0	0	0
0.173	5.755	148.467	82.042	0	0	0
0.173	5.755	148.469	82.046	0	0	0
0.172	5.755	148.471	82.050	0	0	0
0.172	5.755	148.474	82.054	0	0	0
0.171	5.754	148.476	82.058	0	0	0
0.171	5.754	148.479	82.061	0	0	0
0.170	5.754	148.481	82.065	0	0	0
0.170	5.754	148.484	82.069	0	0	0
0.169	5.754	148.486	82.073	0	0	0
0.169	5.754	148.489	82.077	0	0	0
0.168	5.754	148.491	82.080	0	0	0
0.168	5.754	148.493	82.084	0	0	0
0.167	5.754	148.496	82.088	0	0	0
0.167	5.753	148.498	82.092	0	0	0
0.166	5.753	148.501	82.096	0	0	0
0.166	5.753	148.503	82.099	0	0	0
0.165	5.753	148.506	82.103	0	0	0
0.165	5.753	148.508	82.107	0	0	0
0.164	5.753	148.511	82.111	0	0	0
0.164	5.753	148.513	82.115	0	0	0
0.163	5.753	148.515	82.118	0	0	0
0.163	5.753	148.518	82.122	0	0	0
0.162	5.753	148.520	82.126	0	0	0
0.162	5.752	148.523	82.130	0	0	0
0.161	5.752	148.525	82.134	0	0	0
0.161	5.752	148.528	82.137	0	0	0
0.160	5.752	148.530	82.141	0	0	0
0.160	5.752	148.533	82.145	0	0	0
0.159	5.752	148.535	82.149	0	0	0
0.159	5.752	148.537	82.153	0	0	0
